#,"Total Backlinks","Domain Rating","URL Rating (desc)","Referring Domains","Referring Page URL","Referring Page Title","Internal Links Count","External Links Count","Link URL",TextPre,"Link Anchor",TextPost,Type,"Backlink Status","First Seen","Last Check","Day Lost",Language,Traffic,Keywords,"Js rendered","Linked Domains"
1,3,92,14,1,"https://ru.wikipedia.org/wiki/Блохин,_Сергей_Николаевич","Блохин, Сергей Николаевич — Википедия",81,17,http://www.blokhin.ru/,,"профессор Блохин С. Н.",,Nofollow,,"2015-05-24 12:53:52","2019-06-01 06:11:49",,ru,250,38,,9
2,1,92,14,,http://www.liveinternet.ru/tags/%EE%E1%E2%E8%F1%F8%E8%E5+%F9%E5%EA%E8/,"обвисшие щеки - Самое интересное в блогах",99,11,http://www.blokhin.ru/obvisanie_shchek.php,,"обвисшие щеки",;,Dofollow,,"2016-06-09 22:29:05","2017-06-17 22:41:31",,ru,,,,5
3,3,90,12,0,http://imxo.narod.ru/NoPokaPoprobuyu.htm,"imx(o) :: Но пока попробую",11,5,http://www.blokhin.ru/rus/operatsii_grud/3.html,,"маммопластика рейтинг статья и маммопластика контакты москва",.,Dofollow,,"2019-10-12 05:52:48","2020-05-17 16:20:39",,ru,0,0,,2
4,200,12,12,0,https://www.topestet.ru/catalog/,"Поиск специалиста",85,9,http://www.blokhin.ru/,,www.blokhin.ru,,Dofollow,,"2019-09-15 14:37:15","2020-05-10 00:48:37",,,0,0,,6
5,1,40,12,0,https://med-tutorial.ru/med-article/pub/54206.html,"Лучший пластический хирург | Медицинские статьи | Медицинский справочник",30,13,https://blokhin.ru/,"В нашей стране","пластический хирург Блохин","с командой единомышленников являются лучшими специалистами маммопластики, что обусловлено тысячами","Dofollow, Content",,"2020-05-16 04:25:09","2020-05-16 04:25:09",,ru,0,0,,12
6,1,40,12,0,https://med-tutorial.ru/med-article/pub/54206.html,"Лучший пластический хирург | Медицинские статьи | Медицинский справочник",30,13,https://blokhin.ru/services/uvelichenie-grudi/,"Пациенткам нравятся естественные результаты","увеличения груди",", учитывая, что подмышечные швы со временем становятся невидимыми. Кроме","Dofollow, Content",,"2020-05-16 04:25:09","2020-05-16 04:25:09",,ru,0,0,,12
7,2,83,12,0,https://yandex.com.tr/profile/26902649760,Yandex,15,2,http://blokhin.ru/,,blokhin.ru,,Dofollow,,"2020-03-09 03:01:49","2020-03-09 03:01:49",,tr,0,0,,1
8,8,82,12,0,http://advisornext.wmtransfer.com/SiteDetails.aspx?url=blokhin.ru,"blokhin.ru - отзывы о сайте, анализ посещаемости от WebMoney.Advisor",30,30,http://blokhin.ru/,,blokhin.ru,,Nofollow,,"2018-01-29 13:39:21","2020-01-16 11:02:55",,ru,0,0,,3
9,4,76,11,0,https://fb.ru/article/144306/krasivaya-grud-i-plasticheskaya-hirurgiya,"Красивая грудь и пластическая хирургия.",52,8,http://blokhin.ru/grud_raznogo_razmera.php,,"грудь разного размера",,"Nofollow, Content",,"2019-08-19 13:14:37","2019-11-01 00:20:31",,ru,0,0,,2
10,3,76,11,0,https://fb.ru/article/144306/krasivaya-grud-i-plasticheskaya-hirurgiya,"Красивая грудь и пластическая хирургия.",52,8,http://blokhin.ru/,,"пластический хирург Блохин С.Н.",,"Nofollow, Content",,"2019-11-01 00:20:31","2019-11-01 00:20:31",,ru,0,0,,2
