#,"Anchor Text","Referring Domains Total","Referring Domains with Anchor (Percent %)","Referring Domains Dofollow (desc)","Referring Domains Dofollow with Anchor (Percent %)","Referring Pages Count","Referring Pages with Anchor (Percent %)","First Seen","Last Check"
1,statement,120,18,90,21,136,6,"2020-05-05 16:26:35","2020-06-15 13:27:17"
2,"on the training centre’s website.",39,6,39,9,40,2,"2020-05-07 11:21:34","2020-06-13 02:58:37"
3,"died tragically",38,6,37,9,50,2,"2020-05-07 21:53:19","2020-06-07 23:55:36"
4,https://fnkc-fmba.ru/,27,4,20,5,108,5,"2017-08-12 03:32:07","2020-06-04 03:53:35"
5,http://www.kb83.com/,29,4,19,4,72,3,"2016-01-01 04:10:06","2020-06-15 03:36:38"
6,fnkc-fmba.ru,102,15,13,3,287,13,"2015-07-15 12:03:02","2020-06-15 06:03:52"
7,https://fnkc-fmba.ru/sobytiya/kardiokrym-2018/,14,2,13,3,15,0.68,"2018-11-22 07:48:49","2020-04-18 00:08:04"
8,www.fnkc-fmba.ru,12,2,10,2,39,2,"2015-07-07 20:29:13","2020-06-15 03:06:40"
9,http://fnkc-fmba.ru,16,2,9,2,37,2,"2015-07-22 15:28:22","2020-06-10 13:46:25"
10,погибла,20,3,9,2,22,1,"2020-05-04 05:50:17","2020-06-15 23:29:02"
11,http://fnkc-fmba.ru/diagnostika/ultrazvukovaya-diagnostika-uzi/uzi-sosudov-golovnogo-mozga-i-shei/,8,1,8,2,8,0.36,"2018-12-13 19:04:42","2019-10-31 16:13:50"
12,kb83.com,12,2,7,2,38,2,"2015-12-16 07:58:37","2020-06-09 05:46:52"
13,"фнкц фмба россии",7,1,7,2,17,0.77,"2017-09-13 22:52:38","2020-06-06 03:33:39"
14,,11,2,5,1,53,2,,"2020-06-15 13:01:01"
15,"an accident",6,0.91,5,1,12,0.54,"2020-05-06 21:06:26","2020-06-11 18:03:43"
16,http://fnkc-fmba.ru/,11,2,5,1,79,4,"2016-05-02 20:32:36","2020-06-15 19:08:02"
