#,"Total Backlinks","Domain Rating","URL Rating (desc)","Referring Domains","Referring Page URL","Referring Page Title","Internal Links Count","External Links Count","Link URL",TextPre,"Link Anchor",TextPost,Type,"Backlink Status","First Seen","Last Check","Day Lost",Language,Traffic,Keywords,"Js rendered","Linked Domains"
1,2,89,44,267,https://www.buzzfeednews.com/article/christopherm51/russia-doctors-coronavirus,"Coronavirus: Three Russian Doctors Have Fallen Out Of Windows In Just Over A Week",35,39,https://fnkc-fmba.ru/news/kollektiv-fnkts-fmba-rossii-vyrazhaet-soboleznovaniya/,"a result of an accident,” according to a Moscow hospital",statement,". She had been hospitalized with COVID-19.",Nofollow,,"2020-05-22 14:43:09","2020-06-13 00:42:02",,,15,273,,17
2,1,90,39,194,https://www.foxnews.com/world/third-russian-coronavirus-doctor-plummets-from-hospital-window-under-hazy-circumstances-reports-say,"Third Russian coronavirus doctor plummets from hospital window under hazy circumstances, reports say | Fox News",142,16,https://fnkc-fmba.ru/news/kollektiv-fnkts-fmba-rossii-vyrazhaet-soboleznovaniya/,"the coronavirus, according to a local report . A hospital",statement,"said she died ""as a result of an accident.""","Dofollow, Content",,"2020-05-05 16:26:34","2020-06-16 03:26:47",,en,1.3,34,,10
3,1,90,38,137,https://www.vox.com/2020/5/6/21248553/coronavirus-russia-doctors-windows-death,"Russian coronavirus doctors are mysteriously falling out of windows - Vox",54,55,https://fnkc-fmba.ru/news/kollektiv-fnkts-fmba-rossii-vyrazhaet-soboleznovaniya/,"hospital where she died releasing a statement saying she “","died tragically","” in an “ accident ,” with no additional details","Dofollow, Content",,"2020-05-08 23:39:01","2020-06-16 06:44:37",,en,197,726,,26
4,1,79,35,123,https://meduza.io/feature/2020/05/02/voronezhskiy-vrach-aleksandr-shulepov-upal-so-vtorogo-etazha-on-zhalovalsya-chto-ego-zastavlyayut-rabotat-posle-zarazheniya-koronavirusom,"Воронежский врач Александр Шулепов упал со второго этажа. Он жаловался, что его заставляют работать после заражения коронавирусом Это третий российский медик, выпавший из окна за последние две недели — Meduza",27,33,https://fnkc-fmba.ru/news/kollektiv-fnkts-fmba-rossii-vyrazhaet-soboleznovaniya/,"24 апреля",погибла,"заведующая отделением скорой медицинской помощи Звездного городка Наталья Лебедева, которая","Dofollow, Content",,"2020-05-21 16:19:08","2020-06-16 10:38:21",,ru,8,100,,19
5,1,92,29,56,https://ru.wikipedia.org/wiki/Федеральное_медико-биологическое_агентство,"Федеральное медико-биологическое агентство — Википедия",166,27,https://fnkc-fmba.ru/,,"Официальный сайт ФНКЦ ФМБА России",,Nofollow,,"2020-04-23 08:09:53","2020-04-23 08:09:53",,ru,1613,78,,16
6,2,32,29,64,http://www.mst.ru/,"Multi-Systems Technology - Импланты для хирургии позвоночника, травматологии и ортопедии",14,12,https://fnkc-fmba.ru/sobytiya/simpozium-vedushchikh-rossiyskikh-spetsialistov-s-mezhdunarodnym-uchastiem-ot-endoprotezirovaniya-k-/,"участия в мероприятии специалист может пройти предварительную регистрацию на сайте",здесь,"или на месте в день начала мероприятия с 8:00 до",Dofollow,,"2020-02-26 15:21:15","2020-06-11 23:45:47",,ru,0,0,,11
7,198,17,27,75,http://www.kb83.com/,,0,1,http://fnkc-fmba.ru/,,,,"Dofollow, Redirect",,"2018-04-12 18:00:04","2020-06-10 07:59:22",,,,,,1
8,1,72,21,21,https://www.znak.com/2020-05-04/v_rossii_vrachi_vypadayut_iz_okon_vo_vremya_epidemii_koronavirusa_podrobnosti_chp,"В России несколько врачей выпали из окон во время эпидемии коронавируса. Подробности ЧП",150,15,https://fnkc-fmba.ru/news/kollektiv-fnkts-fmba-rossii-vyrazhaet-soboleznovaniya/,"Ореховом бульваре, который был перепрофилирован под пациентов с COVID-19. По",официальной,"версии, причиной смерти стал несчастный случай.","Dofollow, Content",,"2020-05-09 01:08:48","2020-06-16 05:57:45",,ru,11,58,,12
9,8,7,19,17,http://www.mrmcyalta.ru/,"Главная | МРМЦ",52,4,https://fnkc-fmba.ru/,"Многопрофильный республиканский медицинский центр при","ФНКЦ ФМБА России",,Dofollow,,"2019-11-19 08:48:13","2020-06-16 06:25:17",,ru,42,191,,3
10,1,78,19,12,https://www.the-village.ru/village/city/instruction/380757-plazma,"Где сдать плазму, если переболел коронавирусом — The Village",52,45,https://fnkc-fmba.ru/news/vnimanie-grazhdanam-perebolevshim-covid-19-nam-nuzhna-vasha-pomoshch/,"Подробнее об акции —","на сайте",учреждения.,"Dofollow, Content",,"2020-05-15 23:27:18","2020-06-16 04:53:51",,ru,6,90,,28
