#,"Total Backlinks","Domain Rating","URL Rating (desc)","Referring Domains","Referring Page URL","Referring Page Title","Internal Links Count","External Links Count","Link URL",TextPre,"Link Anchor",TextPost,Type,"Backlink Status","First Seen","Last Check","Day Lost",Language,Traffic,Keywords,"Js rendered","Linked Domains"
1,1,81,17,0,https://vc.ru/marketing/119130-rano-azimova-kak-sozdat-polozhitelnyy-imidzh-plasticheskogo-hirurga,"Рано Азимова: Как создать положительный имидж пластического хирурга — Маркетинг на vc.ru",85,6,https://www.mosplastica.ru/services/plasticheskaya-khirurgiya/plastika-grudi/podtyazhka-grudi/,"вот только недавно сделала у Бакирханова Сарвара Казимовича подтяжку груди",https://www.mosplastica.ru/services/plasticheskaya-khirurgiya/plastika-grudi/podtyazhka-grudi/,"начиналось все ка краз таки с консультаций онлайн, если б",Dofollow,,"2020-04-14 16:22:20","2020-04-14 16:22:20",,ru,0,19,,4
2,1,84,15,0,https://bus.gov.ru/forum/posts/list/10/44905.page,Внешность,70,5,https://www.mosplastica.ru/services/plasticheskaya-khirurgiya/plastika-litsa/endoskopicheskiy-lifting-litsa/,"процедуры с косметологом не помогли. Пришлось делать эндоскопический лифтинг лица",https://www.mosplastica.ru/services/plasticheskaya-khirurgiya/plastika-litsa/endoskopicheskiy-lifting-litsa/,"Гварамия Алексей Алекович выполнял операцию, я осталась довольна. Всех кого",Nofollow,,"2020-04-20 15:23:15","2020-05-19 11:37:38",,ru,0,0,,4
3,4,88,15,15,https://uk.wikipedia.org/wiki/Вагінопластика,"Вагінопластика — Вікіпедія",57,46,http://www.mosplastica.ru/services/plasticheskaya-khirurgiya/intimnaya-plastika/zhenskaya-intimnaya-plastika/vaginoplastika/plastica-vlagalisha/,,"Пластика влагалища (вагинопластика, кольпорафия)",,Nofollow,,"2017-09-12 00:58:53","2020-04-26 16:17:46",,uk,0,1,,32
4,4,18,15,11,https://vaginoplastica.ru/hirurgi/bakirhanov-sarvar-kazimovich.html,"Бакирханов Сарвар Казимович - хирург по вагинопластике (пластике влагалища)",29,2,http://www.mosplastica.ru/,,"Mont Blanc",,"Nofollow, Content",,"2019-02-06 13:58:17","2020-06-13 08:47:44",,,2.3,3,,1
5,1,84,15,0,https://bus.gov.ru/forum/posts/list/44824.page,"Как посчитать калории и КБЖУ?",65,4,https://www.mosplastica.ru/services/plasticheskaya-khirurgiya/plastika-litsa/smas-lifting/,"данный момент справилась с ней при помощи процедуры SMAS-лифтинг лица",https://www.mosplastica.ru/services/plasticheskaya-khirurgiya/plastika-litsa/smas-lifting/,". Это делала в клинике с хорошими рекомендациями и отзывами.","Nofollow, Content",,"2020-03-20 04:48:38","2020-04-30 13:42:25",,ru,0,0,,3
6,1,58,14,0,https://mama.ru/forums/theme/hochu-krasivuyu-grud/,"Хочу красивую грудь - mama.ru",164,10,https://www.mosplastica.ru/,"живот не уходил, пришлось делать абдоминопластику в клинике пластической хирургии",https://www.mosplastica.ru/,"повезло и с хирургом и с подходом, убрали мне все",Nofollow,,"2020-05-03 04:30:32","2020-05-03 04:30:32",,ru,0,0,,10
7,1,55,14,0,http://omskregion.info/news/79553-zapoluchit_figuru_mecht_lipomodelirovanie/,"VASER-липосакция: что это, показания, противопоказания, фото до и после",59,15,https://www.mosplastica.ru/personal/voroshkevich-pavel-andreevich/,"Может ли операция заменить спорт?Отвечает пластический хирург","Ворошкевич Павел Андреевич",:,"Dofollow, Content",,"2020-04-08 15:17:08","2020-05-16 06:45:46",,ru,0,4,,10
8,1,55,14,0,http://omskregion.info/news/79553-zapoluchit_figuru_mecht_lipomodelirovanie/,"VASER-липосакция: что это, показания, противопоказания, фото до и после",59,15,https://www.mosplastica.ru/services/plasticheskaya-khirurgiya/vaser-liposaktsiya/,"операций постепенно становится комплексное липомоделирование. Это операция, сочетающая в себе",VASER-липосакцию,"по кругу и липофилинг. Жир, изъятый по методике VASER прекрасно","Dofollow, Content",,"2020-04-08 15:17:08","2020-05-16 06:45:46",,ru,0,4,,10
9,4,90,14,1,http://link.2gis.ru/1.2/75F25918/webapi/20180601/project32/4504128908612873/maps.ngs.ru/erthy4G6G4B7G5G3H1HHyy6pmvgA949A4B2352589uvov4G455C6I165A94Gnvv6np8p72G3G48A18731J4HG7IJGJBe?http://www.mosplastica.ru,,0,2,http://www.mosplastica.ru/,,перейти,.,"Dofollow, Content",,"2019-02-25 19:01:00","2019-02-25 19:01:00",,,0,0,,1
10,1,80,13,0,https://club.cnews.ru/members/commentlist/77282,LanaL,56,11,https://www.mosplastica.ru/services/plasticheskaya-khirurgiya/plastika-grudi/podtyazhka-grudi/,"нашего, это Бакирханов Сарвар Казимович, делапа у него подтяжку груди",https://www.mosplastica.ru/services/plasticheskaya-khirurgiya/plastika-grudi/podtyazhka-grudi/,"отличный врач, внимательный и сделал все как хотелось. Даже когда",Dofollow,,"2020-04-28 01:55:28","2020-04-28 01:55:28",,ru,0,0,,7
