#,"Total Backlinks","Domain Rating","URL Rating (desc)","Referring Domains","Referring Page URL","Referring Page Title","Internal Links Count","External Links Count","Link URL",TextPre,"Link Anchor",TextPost,Type,"Backlink Status","First Seen","Last Check","Day Lost",Language,Traffic,Keywords,"Js rendered","Linked Domains"
1,9328,56,48,551,https://www.smclinic.ru/,"Медицинский центр «СМ Клиника» — частная семейная клиника в Москве",196,108,https://www.sm-plastica.ru/,,"Пластическая хирургия",,Dofollow,,"2019-07-05 14:04:29","2020-06-16 02:15:15",,,15451,1219,,17
2,916,30,35,127,https://www.sm-estetica.ru/,"Центр эстетической, терапевтической, лазерной косметологии в Москве | Медицинский центр красоты «СМ-Косметология»",30,18,https://www.sm-plastica.ru/,,"Пластическая хирургия",,Nofollow,,"2019-03-11 00:34:54","2020-06-15 06:01:09",,ru,261,38,,15
3,176,28,33,117,https://www.doctor03.ru/,"Скорая помощь в Москве: вызвать платную скорую медицинскую помощь",47,18,https://www.sm-plastica.ru/,,"Пластическая хирургия",,Dofollow,,"2019-11-22 11:06:29","2020-06-16 07:03:33",,ru,23,38,,13
4,382,38,32,91,https://www.sm-eko.ru/,"Центр репродуктивного здоровья ЭКО - Клиника ЭКО в Москве",90,20,https://www.sm-plastica.ru/,,"Пластическая хирургия",,Dofollow,,"2019-06-01 01:14:18","2020-06-16 07:54:56",,ru,18,59,,15
5,1252,33,31,80,https://centr-hirurgii.ru/surgery/centr-andrologii/udlinenie-polovogo-chlena/,"Лигаментотомия пениса, цена операции в Москве | Хирургическое удлинение полового члена в клинике",86,15,https://www.sm-plastica.ru/,,"Пластическая хирургия",,Dofollow,,"2019-03-12 02:24:32","2020-06-14 07:49:56",,ru,4.2,32,,13
6,373,29,31,111,https://www.sm-stomatology.ru/,"«СМ-Стоматология» - сеть стоматологических клиник | Платная стоматология в Москве | Зубная клиника",67,24,https://www.sm-plastica.ru/,"Детские клиники Центр хирургии","Пластическая хирургия","Центр ЭКО Онкологический центр",Dofollow,,"2019-03-19 05:39:02","2020-06-16 05:25:40",,ru,8057,313,,15
7,6,33,28,93,https://centr-hirurgii.ru/,"Клиника хирургии – частная хирургическая больница в Москве «СМ-Клиника»| Платное отделение хирургии круглосуточно",99,21,https://www.sm-plastica.ru/experts/khristenko-anna-ivanovna/,,"Христенко Анна Ивановна Христенко Анна Ивановна",,"Dofollow, Image",,"2019-10-29 03:59:11","2020-05-10 19:58:54",,ru,19,36,,13
8,6,33,28,93,https://centr-hirurgii.ru/,"Клиника хирургии – частная хирургическая больница в Москве «СМ-Клиника»| Платное отделение хирургии круглосуточно",99,21,https://www.sm-plastica.ru/experts/li-aleksandr-gennadevich/,,"Ли Александр Геннадьевич Ли Александр Геннадьевич",,"Dofollow, Image",,"2019-03-24 09:15:45","2020-05-10 19:58:54",,ru,19,36,,13
9,263,28,27,117,https://www.oncology-centr.ru/,"Онкологический центр «СМ-Клиника» в Москве | Частная онкологическая больница | Лечение рака в онкологической клинике в Москве",51,25,https://www.sm-plastica.ru/,"Детские клиники Центр хирургии","Пластическая хирургия","Стоматология Центр ЭКО",Dofollow,,"2019-05-08 17:45:14","2020-06-16 09:18:49",,ru,136,141,,18
10,361,13,26,106,https://www.smclinic-ryazan.ru/,"«СМ-Клиника» — платный многопрофильный медицинский центр в Рязани | Частная мед клиника - консультативно диагностический центр",47,17,https://www.sm-plastica.ru/,,"Пластическая хирургия",,Dofollow,,"2019-05-10 00:58:09","2020-06-16 04:02:29",,ru,489,208,,14
