#,"Anchor Text","Referring Domains Total","Referring Domains with Anchor (Percent %)","Referring Domains Dofollow (desc)","Referring Domains Dofollow with Anchor (Percent %)","Referring Pages Count","Referring Pages with Anchor (Percent %)","First Seen","Last Check"
1,www.frauklinik.ru,72,18,50,19,318,2,"2013-08-09 00:32:43","2020-06-16 01:37:25"
2,https://www.frauklinik.ru/doctor/filippov.php,21,5,13,5,69,0.43,"2019-10-16 12:48:04","2020-06-13 05:25:26"
3,"frau klinik",19,5,12,5,60,0.38,"2015-03-15 13:56:44","2020-06-15 08:24:43"
4,frauklinik.ru,44,11,12,5,258,2,"2015-04-28 19:38:49","2020-06-16 01:49:24"
5,,17,4,9,3,999,6,,"2020-06-16 01:04:38"
6,"клиника пластической хирургии",9,2,9,3,11,0.07,"2018-12-22 09:37:49","2020-06-13 10:07:11"
7,"увеличение груди",8,2,8,3,32,0.20,"2013-08-09 15:43:44","2020-06-13 12:07:19"
8,"фрау клиник",10,3,7,3,715,5,"2014-11-12 11:37:51","2020-06-16 10:20:01"
9,frauklinik,6,2,6,2,30,0.19,"2015-07-20 14:32:29","2020-06-10 18:09:36"
10,http://www.frauklinik.ru,9,2,6,2,15,0.09,"2017-07-14 00:04:19","2020-06-12 00:25:38"
11,http://www.frauklinik.ru/,16,4,5,2,38,0.24,"2013-08-09 04:41:09","2020-06-16 10:30:01"
12,"копасов андрей евгеньевич",5,1,5,2,28,0.18,"2015-11-22 15:43:39","2020-06-14 18:54:58"
13,маммопластика,5,1,5,2,6,0.04,"2013-08-10 07:02:36","2020-06-14 16:10:29"
14,"пластика живота",5,1,5,2,7,0.04,"2016-05-18 00:13:03","2020-06-10 16:46:41"
15,"пластическая хирургия",5,1,5,2,31,0.20,"2013-08-10 07:02:36","2020-06-09 21:27:42"
16,"подтяжка груди",5,1,5,2,8,0.05,"2015-07-23 16:00:43","2020-06-10 16:46:41"
17,"подтяжка шеи",5,1,5,2,7,0.04,"2013-08-11 02:39:22","2020-06-06 05:56:16"
18,"уменьшение груди",5,1,5,2,5,0.03,"2014-01-06 13:21:41","2020-06-05 06:40:40"
19,"frau klinik — фрау клиник",7,2,4,2,10,0.06,"2016-12-22 03:52:00","2020-05-31 20:55:12"
20,http://frauklinik.ru,11,3,4,2,23,0.14,"2017-03-15 09:07:59","2020-06-15 19:54:56"
21,http://www.frauklinik.ru/stomatologia/,6,2,4,2,35,0.22,"2017-03-15 11:39:45","2020-06-16 04:08:42"
22,биоревитализация,4,1,4,2,9,0.06,"2016-04-04 06:06:20","2020-06-06 05:51:29"
23,"блохин сергей николаевич",4,1,4,2,28,0.18,"2018-03-10 12:26:45","2020-06-14 18:54:58"
24,вагинопластика,5,1,4,2,10,0.06,"2015-12-07 05:33:39","2020-06-11 02:30:22"
25,"интимную пластику",6,2,4,2,7,0.04,"2018-06-26 01:08:23","2020-06-15 23:57:22"
26,"увеличение груди москва",4,1,4,2,4,0.03,"2013-10-02 08:48:27","2020-06-14 23:12:42"
27,фрауклиник,4,1,4,2,44,0.28,"2016-02-15 11:21:54","2020-06-10 00:12:53"
28,http://www.frauklinik.ru/about/story_rino_vline_blefaro_abramyan_5.php,4,1,3,1,46,0.29,"2018-01-11 23:50:37","2020-06-11 07:45:46"
29,http://www.frauklinik.ru/doctor/portnoj.php,3,0.75,3,1,27,0.17,"2018-02-22 22:35:18","2020-06-14 21:23:33"
30,http://www.frauklinik.ru/stomatologia/protezirovanie_zubov.php,3,0.75,3,1,6,0.04,"2016-12-01 04:33:28","2020-06-15 23:24:11"
31,smas-лифтинг,4,1,3,1,8,0.05,"2016-03-23 03:15:17","2020-06-11 06:04:17"
32,"«скидка 10% на все виды маммопластики»",3,0.75,3,1,3,0.02,"2018-06-26 12:07:33","2018-07-15 06:08:07"
33,"«фрау клиник»",6,2,3,1,100,0.63,"2016-08-17 04:20:29","2020-06-15 15:09:23"
34,"блефаропластика москва",3,0.75,3,1,3,0.02,"2013-10-08 00:17:09","2020-05-31 03:00:36"
35,"клинике frauklinik",3,0.75,3,1,7,0.04,"2016-06-03 04:03:53","2020-06-02 08:05:27"
36,"клиники пластической хирургии frau klinik",4,1,3,1,8,0.05,"2016-02-28 11:59:49","2020-06-01 05:34:31"
37,липосакция,3,0.75,3,1,3,0.02,"2014-07-01 17:04:37","2020-06-07 06:59:18"
38,"мезотерапия лица",3,0.75,3,1,4,0.03,"2018-02-10 01:44:49","2020-06-07 16:17:52"
39,"метод закрытой ринопластики",3,0.75,3,1,7,0.04,"2016-03-29 17:02:58","2020-06-16 10:22:54"
40,"операция по уменьшению груди",3,0.75,3,1,7,0.04,"2016-03-28 15:28:43","2020-06-02 08:05:27"
41,"пластическая хирургия москва",3,0.75,3,1,3,0.02,"2013-10-02 08:48:27","2020-06-14 23:12:42"
42,"пластический хирург frau klinik егорова м.в.",3,0.75,3,1,7,0.04,"2016-02-16 17:25:43","2020-06-10 05:00:06"
43,"профессор блохин",3,0.75,3,1,7,0.04,"2016-03-15 15:58:55","2020-06-11 06:04:17"
44,"результатами операций по увеличению груди",3,0.75,3,1,5,0.03,"2016-02-17 18:20:25","2020-06-12 12:54:23"
45,ринопластика,4,1,3,1,13,0.08,"2015-09-06 01:57:18","2020-06-13 14:15:03"
46,"сергей николаевич блохин",4,1,3,1,14,0.09,"2016-02-27 10:49:13","2020-06-11 19:00:24"
47,"сергею николаевичу блохину",3,0.75,3,1,7,0.04,"2015-07-28 02:29:48","2020-06-04 14:30:12"
48,"эксклюзивных условиях",3,0.75,3,1,7,0.04,"2016-03-11 17:18:45","2020-04-11 17:04:59"
49,http://frauklinik.ru/,5,1,2,0.75,9,0.06,"2016-01-02 16:52:37","2020-06-13 08:46:16"
50,http://frauklinik.ru/doctor/kopasov.php,2,0.50,2,0.75,11,0.07,"2017-02-24 10:53:14","2020-06-12 17:46:10"
51,http://frauklinik.ru/plasticheskaya-...noplastika.php,2,0.50,2,0.75,8,0.05,"2016-11-13 07:52:49","2020-06-13 22:36:55"
52,http://www.frauklinik.ru/cosmetologia/massazh.php,2,0.50,2,0.75,3,0.02,"2018-07-29 21:05:19","2020-06-13 18:45:08"
53,http://www.frauklinik.ru/cosmetologia/ukhody_po_litsu.php,2,0.50,2,0.75,41,0.26,"2016-10-31 00:51:07","2020-06-16 09:34:10"
54,http://www.frauklinik.ru/doctor/blohin.php,2,0.50,2,0.75,7,0.04,"2016-11-04 23:06:46","2020-06-13 11:57:20"
55,http://www.frauklinik.ru/mammologia/,3,0.75,2,0.75,12,0.08,"2018-02-18 19:11:44","2020-05-31 00:27:10"
56,http://www.frauklinik.ru/mammologia/geneticheskaya_diagnostika_raka_molochnoy_zhelezy.php,4,1,2,0.75,26,0.16,"2018-03-04 14:53:48","2020-06-01 05:18:48"
57,http://www.frauklinik.ru/plasticheskaya-hirurgia/liposaktsiya_beder.php,3,0.75,2,0.75,8,0.05,"2016-10-12 21:36:14","2020-06-12 21:02:38"
