#,"Anchor Text","Referring Domains Total","Referring Domains with Anchor (Percent %)","Referring Domains Dofollow (desc)","Referring Domains Dofollow with Anchor (Percent %)","Referring Pages Count","Referring Pages with Anchor (Percent %)","First Seen","Last Check"
1,http://gmt-clinic.ru/,63,14,53,16,414,8,"2016-05-30 00:32:51","2020-06-16 05:52:15"
2,https://gmt-clinic.ru/,52,12,47,14,278,5,"2018-12-17 21:13:35","2020-06-15 11:25:24"
3,gmt-clinic.ru,76,17,40,12,208,4,"2015-04-06 23:16:51","2020-06-16 09:30:50"
4,http://gmt-clinic.ru/tredlifting-lica-3d-mezonityami,22,5,22,7,137,3,"2018-05-26 04:32:26","2020-06-13 18:03:24"
5,http://gmt-clinic.ru/n/clinic/kosmetologiya/kosmetologiya-tela/new-pohudenie-dlya-lenivyh-vip-line,18,4,18,5,70,1,"2016-08-06 09:16:51","2020-06-16 04:15:42"
6,https://gmt-clinic.ru/smas-lifting-ulthera-system,17,4,17,5,112,2,"2019-01-04 21:52:20","2020-06-16 05:40:03"
7,https://gmt-clinic.ru/3d-rf-lifting-infini-igolchatiy,14,3,14,4,140,3,"2019-02-07 20:25:13","2020-06-14 13:29:58"
8,gmtclinic,19,4,13,4,40,0.79,"2017-10-25 16:59:29","2020-06-15 11:17:05"
9,https://gmt-clinic.ru/tredlifting-lica-3d-mezonityami,13,3,13,4,97,2,"2019-01-04 19:26:59","2020-06-07 20:53:07"
10,http://gmt-clinic.ru/gmt-klinika-krasoty-na-arbate,10,2,10,3,45,0.89,"2016-12-29 12:02:26","2020-06-10 17:10:00"
11,http://gmt-clinic.ru/n/clinic/kosmetologiya,10,2,10,3,32,0.63,"2016-12-31 01:40:52","2020-06-11 19:15:01"
12,https://gmt-clinic.ru/konturnaya-plastika-lica-skul,9,2,9,3,40,0.79,"2018-12-29 08:10:40","2020-06-15 08:09:11"
13,www.gmt-clinic.ru,22,5,9,3,90,2,"2015-08-24 18:34:21","2020-06-09 00:06:22"
14,http://gmt-clinic.ru/lifting-lica-nityami-aptos,8,2,8,2,69,1,"2018-08-24 00:50:32","2020-06-13 00:36:12"
15,http://gmt-clinic.ru/plastika-nosa-rinoplastika,9,2,8,2,122,2,"2018-01-17 23:34:25","2020-06-15 10:53:20"
16,https://gmt-clinic.ru/chistka-lica-holy-land,8,2,8,2,37,0.73,"2018-12-31 04:05:33","2020-06-15 23:45:21"
17,http://gmt-clinic.ru/chistka-lica-holy-land,7,2,7,2,95,2,"2018-07-13 08:37:55","2020-06-15 18:49:53"
18,http://gmt-clinic.ru/fraxel-dual,7,2,7,2,26,0.51,"2018-04-22 00:04:57","2020-06-13 06:51:19"
19,https://gmt-clinic.ru/lifting-lica-nityami-aptos,7,2,7,2,59,1,"2019-01-04 21:53:34","2020-06-07 09:34:18"
20,https://gmt-clinic.ru/n/clinic/kosmetologiya/kosmetologiya-tela/korrekciya-figury/inekcionnye-metodiki-korrekcii-figury/intralipoterapiya-aqualyx,8,2,7,2,31,0.61,"2019-01-15 19:01:48","2020-06-16 05:37:16"
21,http://gmt-clinic.ru/3d-rf-lifting-infini-igolchatiy,6,1,6,2,24,0.47,"2018-05-11 13:57:59","2020-06-15 08:24:50"
22,http://gmt-clinic.ru/biorevitalizaciya-lica-bezynekcionnaya,6,1,6,2,29,0.57,"2018-05-02 07:49:32","2020-06-16 09:44:18"
23,http://gmt-clinic.ru/lpg-massazh,6,1,6,2,39,0.77,"2018-04-28 14:42:14","2020-06-09 03:49:09"
24,http://gmt-clinic.ru/plazmoterapiya-lica-prp,6,1,6,2,64,1,"2018-09-24 00:17:48","2020-06-15 04:46:45"
25,http://gmt-clinic.ru/tredlifting-3d-mezonityami,6,1,6,2,58,1,"2017-03-09 18:23:03","2020-05-31 21:06:55"
26,https://gmt-clinic.ru/mezoterapiya-lica-koji,6,1,6,2,29,0.57,"2019-04-29 10:13:27","2020-06-16 06:12:45"
27,https://gmt-clinic.ru/plazmoterapiya-lica-prp,6,1,6,2,57,1,"2018-12-16 19:52:56","2020-06-15 10:03:48"
28,,6,1,5,1,238,5,,"2020-06-15 21:51:43"
29,http://gmt-clinic.ru,11,3,5,1,37,0.73,"2016-05-29 19:20:41","2020-06-14 23:00:29"
30,http://gmt-clinic.ru/intimnaya-konturnaya-plastika,5,1,5,1,44,0.87,"2017-12-01 23:12:34","2020-06-16 01:48:29"
31,http://gmt-clinic.ru/nitevoj-lifting,6,1,5,1,71,1,"2017-09-03 10:01:14","2020-06-13 22:20:47"
32,https://gmt-clinic.ru/uvelichenie-gub,5,1,5,1,28,0.55,"2019-05-26 10:43:36","2020-04-22 17:22:13"
33,"gmt clinic",5,1,4,1,6,0.12,"2018-11-26 11:06:43","2020-05-02 18:17:02"
34,http://gmt-clinic.ru/botulinoterapiya-inekcii-botoksa-dysport,4,0.91,4,1,27,0.53,"2016-08-06 10:27:38","2020-05-31 02:18:18"
35,http://gmt-clinic.ru/elos-omolozhenie-lica,4,0.91,4,1,22,0.43,"2017-06-25 08:39:11","2020-05-31 01:44:56"
36,http://gmt-clinic.ru/mezoterapiya-koji-lica,5,1,4,1,13,0.26,"2017-08-24 02:52:52","2020-05-20 01:36:01"
37,http://gmt-clinic.ru/n/clinic/flebologiya,4,0.91,4,1,22,0.43,"2018-03-17 02:07:06","2020-06-07 19:47:52"
38,http://gmt-clinic.ru/smas-lifting-ulthera-system,4,0.91,4,1,34,0.67,"2018-10-30 18:52:41","2020-06-13 16:48:12"
