#,"Anchor Text","Referring Domains Total","Referring Domains with Anchor (Percent %)","Referring Domains Dofollow (desc)","Referring Domains Dofollow with Anchor (Percent %)","Referring Pages Count","Referring Pages with Anchor (Percent %)","First Seen","Last Check"
1,seline.ru,37,29,28,31,84,6,"2019-10-25 19:09:25","2020-06-14 05:17:33"
2,https://seline.ru/,12,10,9,10,21,1,"2019-11-24 01:07:33","2020-05-20 08:59:51"
3,https://seline.ru/operations/chistka-zubov-air-flow/,16,13,8,9,191,13,"2019-10-13 12:23:54","2020-06-15 23:25:20"
4,https://seline.ru/operations/lazernaya-kosmetologiya/,12,10,7,8,64,4,"2019-10-22 10:57:20","2020-06-15 16:35:26"
5,https://seline.ru/operations/otbelivanie-zubov-zoom-4/,12,10,7,8,53,4,"2019-09-19 03:43:08","2020-06-02 12:14:12"
6,https://seline.ru/operations/lechenie-vypadeniya-volos/,11,9,6,7,46,3,"2019-10-20 13:40:39","2020-06-15 04:58:57"
7,https://seline.ru/operations/umenshenie-grudi/,10,8,6,7,111,8,"2019-10-09 19:34:45","2020-06-10 22:51:14"
8,https://seline.ru/operations/otbelivanie-zubov/,9,7,5,6,105,7,"2019-10-09 22:05:50","2020-06-12 14:17:06"
9,https://seline.ru/operations/rinoplastika-plastika-nosa/,9,7,5,6,22,2,"2019-10-21 02:10:32","2020-06-08 14:50:09"
10,http://seline.ru/kosmetologiya/,6,5,4,4,22,2,"2019-05-04 00:14:01","2020-06-12 17:03:26"
11,https://seline.ru/operations/skleroterapiya/,7,6,4,4,107,7,"2019-10-29 14:16:36","2020-06-14 15:21:08"
12,,3,2,3,3,5,0.34,,"2020-06-06 19:26:09"
13,http://seline.ru/,4,3,3,3,4,0.28,"2019-04-30 22:26:38","2020-04-04 00:20:28"
14,http://seline.ru/plasticheskaya-hirurgiya/,4,3,3,3,14,0.96,"2019-04-29 18:48:16","2020-06-15 17:49:34"
15,https://seline.ru/operations/udalenie-sosudistykh-zvyezdochek/,6,5,3,3,40,3,"2019-10-15 03:16:00","2020-06-10 07:07:41"
16,https://seline.ru/stomatologiya/,6,5,3,3,29,2,"2019-11-16 10:37:39","2020-06-13 00:53:34"
17,novacutan,3,2,3,3,3,0.21,"2019-12-07 05:20:32","2020-01-22 06:18:46"
18,"аппаратная косметология",3,2,3,3,3,0.21,"2019-10-30 06:25:44","2020-04-30 18:10:03"
19,"лазерная косметология",3,2,3,3,3,0.21,"2019-10-30 06:25:44","2020-04-30 18:10:03"
20,http://seline.ru/stomatologiya/,3,2,2,2,31,2,"2019-05-10 00:49:35","2020-06-12 03:06:32"
21,https://seline.ru/operations/biorevitalizatsiya/,5,4,2,2,41,3,"2019-09-09 06:04:43","2020-04-14 07:13:37"
22,"https://seline.ru/operations/udalenie-s ... yezdochek/",2,2,2,2,2,0.14,"2019-11-30 14:10:41","2020-06-15 13:56:18"
23,https://seline.ru/operations/uvelichenie-grudi/,4,3,2,2,175,12,"2019-09-20 09:37:58","2020-05-20 13:03:20"
24,https://selineclinic.ru/selineclinic.ruhttps://seline.ru/operations/otbelivanie-zubov-zoom-4/,2,2,2,2,34,2,"2019-09-09 20:43:28","2020-05-07 03:02:05"
25,биоревитализация,2,2,2,2,2,0.14,"2019-12-02 02:39:43","2020-02-01 04:17:41"
26,"клиника эстетической медицины seline",2,2,2,2,4,0.28,"2019-12-09 09:56:24","2020-05-30 11:58:15"
27,"контурная пластика лица",2,2,2,2,2,0.14,"2020-02-11 23:54:03","2020-02-28 02:17:39"
28,"лазерная шлифовка кожи",2,2,2,2,2,0.14,"2020-01-12 14:32:26","2020-01-31 11:08:39"
29,http://bit.do/seline-clinic,1,0.79,1,1,1,0.07,"2020-06-12 06:14:38","2020-06-12 06:14:38"
30,"http://seline.ru/kosm etologiya/",1,0.79,1,1,2,0.14,"2020-06-11 20:19:39","2020-06-12 00:54:59"
31,"http://seline.ru/stom atologiya/",1,0.79,1,1,2,0.14,"2020-06-11 02:44:59","2020-06-12 00:13:44"
32,https//seline.ru/operations/lazernaya-kosmetologiya/,2,2,1,1,34,2,"2019-10-31 13:24:50","2020-04-22 04:48:41"
33,https://seline.ru/consultations/,1,0.79,1,1,2,0.14,"2020-06-06 07:35:02","2020-06-11 04:04:38"
34,https://seline.ru/consultations/biorevitalizatsiya-novacutan/5711/,1,0.79,1,1,1,0.07,"2020-04-11 23:05:08","2020-04-11 23:05:08"
35,https://seline.ru/consultations/gigiena-i-profilaktika/5904/,1,0.79,1,1,1,0.07,"2020-04-07 16:43:02","2020-04-07 16:43:02"
36,https://seline.ru/consultations/otbelivanie-zubov/5905/,1,0.79,1,1,2,0.14,"2020-06-10 04:49:59","2020-06-10 07:13:54"
37,https://seline.ru/consultations/remineralizatsiya—zubov/5816/,1,0.79,1,1,1,0.07,"2020-06-03 02:26:17","2020-06-03 02:26:17"
38,https://seline.ru/consultations/rf-lifting/4298/,1,0.79,1,1,1,0.07,"2020-01-28 17:04:19","2020-01-28 17:04:19"
39,https://seline.ru/kosmetologiya/,1,0.79,1,1,1,0.07,"2020-05-25 02:53:58","2020-05-25 02:53:58"
40,https://seline.ru/operations/chi...-zubov-air-flow/,1,0.79,1,1,5,0.34,"2019-10-26 00:56:09","2020-03-19 03:35:17"
