#,"Anchor Text","Referring Domains Total","Referring Domains with Anchor (Percent %)","Referring Domains Dofollow (desc)","Referring Domains Dofollow with Anchor (Percent %)","Referring Pages Count","Referring Pages with Anchor (Percent %)","First Seen","Last Check"
1,"пластическая хирургия",12,13,10,21,9334,91,"2016-05-12 04:15:53","2020-06-16 08:21:24"
2,sm-plastica.ru,19,20,8,17,29,0.28,"2016-09-03 11:21:38","2020-06-13 08:43:47"
3,«см-пластика»,10,11,8,17,21,0.20,"2018-05-20 14:34:34","2020-06-08 01:55:10"
4,http://sm-plastica.ru,15,16,5,10,155,2,"2017-03-13 05:16:50","2020-06-14 23:23:04"
5,,6,6,4,8,44,0.43,,"2020-06-08 02:46:42"
6,липосакция,3,3,3,6,4,0.04,"2018-04-28 12:33:04","2020-01-05 02:22:24"
7,риносептопластика,3,3,3,6,6,0.06,"2016-09-07 14:25:38","2020-05-03 13:06:51"
8,"странение посттравматических рубцов и дефектов",3,3,3,6,3,0.03,"2019-03-22 04:54:43","2020-06-08 01:55:10"
9,http://sm-plastica.ru/,6,6,2,4,21,0.20,"2018-03-30 05:44:44","2020-06-10 08:23:12"
10,http://sm-plastica.ru/services/plastika-tela/lazernoe-lechenie-gipergidroza/,2,2,2,4,2,0.02,"2018-06-12 14:27:42","2019-12-24 11:23:55"
11,https://www.sm-plastica.ru,2,2,2,4,2,0.02,"2019-05-29 09:19:58","2019-07-31 12:31:57"
12,mensplasticweek.smclinic.ru,2,2,2,4,3,0.03,"2016-05-12 19:34:45","2019-08-25 03:36:28"
13,www.sm-plastica.ru,3,3,2,4,8,0.08,"2019-04-30 05:26:11","2020-05-15 13:02:05"
14,"лазерный липолиз",2,2,2,4,2,0.02,"2019-03-22 04:54:43","2020-01-27 13:23:22"
15,"ли александр геннадьевич",2,2,2,4,9,0.09,"2018-10-07 20:09:10","2020-05-04 18:32:34"
16,липофилинг,2,2,2,4,3,0.03,"2016-08-09 13:08:23","2019-12-17 04:24:24"
17,"ножин сергей юрьевич",2,2,2,4,2,0.02,"2019-10-29 18:56:48","2020-02-10 10:43:42"
18,"пахилин дмитрий викторович",2,2,2,4,11,0.11,"2018-10-07 20:09:10","2020-02-16 00:30:47"
19,"пластика век (блефаропластика)",3,3,2,4,4,0.04,"2016-06-12 19:52:16","2019-12-17 04:24:24"
20,"пластика живота (абдоминопластика)",2,2,2,4,3,0.03,"2018-04-28 12:33:04","2019-12-17 04:24:24"
21,"пластика носа (ринопластика)",3,3,2,4,3,0.03,"2016-06-12 19:52:16","2019-12-04 20:53:03"
22,"пластика ушей (отопластика)",3,3,2,4,4,0.04,"2016-06-12 19:52:16","2019-12-23 18:10:08"
