#,"Anchor Text","Referring Domains Total","Referring Domains with Anchor (Percent %)","Referring Domains Dofollow (desc)","Referring Domains Dofollow with Anchor (Percent %)","Referring Pages Count","Referring Pages with Anchor (Percent %)","First Seen","Last Check"
1,www.doctorplastic.ru,60,16,30,12,296,2,"2013-08-09 06:50:06","2020-06-16 07:48:22"
2,"пластическая хирургия",21,6,21,9,42,0.25,"2013-08-10 03:34:44","2020-06-06 11:16:53"
3,http://www.doctorplastic.ru/,31,8,20,8,99,0.60,"2013-09-14 21:11:58","2020-06-15 21:24:10"
4,"увеличение груди",16,4,16,7,594,4,"2013-08-08 16:22:44","2020-06-16 08:31:00"
5,doctorplastic.ru,43,11,11,4,171,1,"2015-04-02 06:36:20","2020-06-16 07:08:44"
6,,13,3,8,3,4398,27,,"2020-06-16 10:13:28"
7,doctorplastic,8,2,8,3,88,0.53,"2016-02-15 03:14:51","2020-06-15 03:51:20"
8,"doctor plastic",8,2,7,3,73,0.44,"2016-02-15 16:57:53","2020-06-15 22:04:43"
9,http://www.doctorplastic.ru,16,4,7,3,39,0.24,"2014-01-05 13:29:05","2020-06-15 01:59:37"
10,"подробнее на сайте doctorplastic.ru",7,2,7,3,12,0.07,"2018-07-30 21:45:44","2020-06-06 19:09:59"
11,dr.plastic,8,2,6,2,21,0.13,"2016-02-18 07:29:09","2020-05-17 22:28:38"
12,блефаропластика,6,2,6,2,13,0.08,"2016-02-21 08:39:04","2020-06-10 04:35:28"
13,софтлифтинг,7,2,6,2,66,0.40,"2016-02-27 02:11:34","2020-06-07 05:49:46"
14,"клиника пластической хирургии",5,1,5,2,6,0.04,"2019-07-03 00:37:08","2020-06-14 09:23:18"
15,"пластика груди",5,1,5,2,5,0.03,"2014-08-09 12:40:33","2020-06-13 00:26:50"
16,"пластические операции",5,1,5,2,9,0.05,"2014-09-06 08:38:52","2020-06-15 11:52:43"
17,липосакция,5,1,4,2,12,0.07,"2013-10-11 11:28:29","2020-05-02 20:12:47"
18,"центр пластической хирургии",4,1,4,2,6,0.04,"2015-02-17 06:28:22","2020-04-14 15:50:33"
19,3d-моделирование,3,0.80,3,1,6,0.04,"2015-07-19 16:49:27","2020-06-04 14:30:23"
20,"884661. doctorplastic.ru",3,0.80,3,1,20,0.12,"2013-08-08 19:22:16","2018-07-29 15:54:53"
21,"body jet",3,0.80,3,1,12,0.07,"2015-08-18 22:17:29","2020-05-20 22:58:23"
22,www.doctorplastic.ru/plastica-lica/blefaroplastica,3,0.80,3,1,5,0.03,"2018-08-28 01:07:51","2020-06-14 09:22:06"
23,«докторпластик»,9,2,3,1,17,0.10,"2017-05-04 19:23:07","2020-06-06 14:01:21"
24,"авторские методы увеличения груди",3,0.80,3,1,7,0.04,"2015-08-14 11:53:01","2020-03-11 08:12:10"
25,"безоперационную технологию увеличения груди",3,0.80,3,1,6,0.04,"2016-07-31 15:15:06","2020-05-09 09:20:04"
26,"бесплатные онлайн-консультации",3,0.80,3,1,5,0.03,"2019-10-25 19:04:49","2020-03-07 08:48:24"
27,"ботокс — живое лицо",3,0.80,3,1,7,0.04,"2016-03-31 16:02:54","2020-05-17 11:53:58"
28,"в клинике doctor plastic",3,0.80,3,1,7,0.04,"2016-02-19 17:42:55","2020-05-27 04:49:01"
29,"вадим сергеевич баков",4,1,3,1,7,0.04,"2016-03-13 22:53:26","2020-05-16 22:45:56"
30,"водоструйная липосакция",3,0.80,3,1,9,0.05,"2017-04-23 09:02:36","2020-04-08 19:40:54"
31,"для вас на сайте www.doctorplastic.ru",3,0.80,3,1,4,0.02,"2019-11-09 11:22:17","2020-06-10 00:20:58"
32,"до и после",3,0.80,3,1,8,0.05,"2015-07-19 16:49:27","2020-06-04 14:30:23"
33,"доктор пластик",5,1,3,1,817,5,"2017-04-08 02:41:08","2020-06-07 16:35:12"
34,"задать вопрос",4,1,3,1,13,0.08,"2016-05-09 06:34:39","2020-04-08 19:40:54"
35,"и.а. белый",3,0.80,3,1,6,0.04,"2016-02-28 16:26:18","2020-04-22 02:28:39"
36,"ильи сергеева",3,0.80,3,1,8,0.05,"2016-06-17 23:43:16","2020-05-12 05:24:18"
37,"коррекции асимметрии",3,0.80,3,1,5,0.03,"2016-02-16 02:18:19","2020-06-01 00:07:45"
38,"липофиллингом груди",3,0.80,3,1,7,0.04,"2015-08-14 11:53:01","2020-03-11 08:12:10"
39,"московского хирурга и.в.сергеева",3,0.80,3,1,7,0.04,"2015-08-18 22:17:29","2020-05-20 22:58:23"
40,"операции по увеличению груди",3,0.80,3,1,6,0.04,"2016-02-28 02:11:43","2020-01-18 23:41:27"
41,"оценить результат липосакции",3,0.80,3,1,5,0.03,"2015-08-04 16:10:57","2020-04-22 02:28:22"
42,"передней или задней кольпорафией",3,0.80,3,1,6,0.04,"2016-03-27 12:51:39","2020-04-01 04:40:58"
43,"пластической хирургии гуди",3,0.80,3,1,6,0.04,"2015-07-21 13:46:06","2020-04-30 07:38:08"
44,"помочь женщине привести себя в порядок",3,0.80,3,1,8,0.05,"2016-02-28 03:37:37","2020-04-18 16:32:33"
45,"причина женской холодности",3,0.80,3,1,7,0.04,"2016-02-19 17:42:55","2020-05-27 04:49:01"
46,"результаты липосакции",3,0.80,3,1,6,0.04,"2016-03-02 14:04:31","2020-05-27 15:45:15"
47,"сайте клиники",3,0.80,3,1,14,0.08,"2016-02-15 12:07:47","2020-05-20 20:20:11"
48,"светлана гагарина",3,0.80,3,1,8,0.05,"2016-02-16 11:10:15","2020-05-12 05:24:17"
49,"силуэт лифт",3,0.80,3,1,7,0.04,"2016-07-01 09:48:40","2020-04-19 14:44:51"
50,"специальные скидки",3,0.80,3,1,6,0.04,"2016-06-29 14:49:37","2020-03-14 02:52:59"
51,"способов установки имплантов",3,0.80,3,1,7,0.04,"2016-02-15 05:02:59","2020-04-16 22:29:03"
52,"увеличение груди цена",3,0.80,3,1,5,0.03,"2018-03-12 18:21:51","2020-06-15 11:52:43"
53,"узнать больше о методе body jet",4,1,3,1,8,0.05,"2016-03-02 14:04:31","2020-06-03 09:57:56"
54,"ульф самуэльссон",3,0.80,3,1,8,0.05,"2016-02-15 21:29:58","2020-05-12 03:57:41"
