#,"Anchor Text","Referring Domains Total","Referring Domains with Anchor (Percent %)","Referring Domains Dofollow (desc)","Referring Domains Dofollow with Anchor (Percent %)","Referring Pages Count","Referring Pages with Anchor (Percent %)","First Seen","Last Check"
1,www.mosplastica.ru,43,15,27,15,182,2,"2013-08-09 10:26:49","2020-06-16 10:07:05"
2,https://www.mosplastica.ru/,37,13,24,13,336,3,"2019-08-19 11:38:42","2020-06-16 03:41:39"
3,http://www.mosplastica.ru/novosti/skidka-na-udlinenie-chlena/,9,3,9,5,200,2,"2018-07-04 03:36:24","2020-06-16 09:07:50"
4,https://www.mosplastica.ru/services/plasticheskaya-khirurgiya/blefaroplastika/plastika-verkhnikh-vek/,12,4,9,5,62,0.56,"2019-07-29 05:14:07","2020-05-20 11:45:11"
5,http://www.mosplastica.ru,14,5,7,4,21,0.19,"2013-08-10 04:17:10","2020-06-14 21:31:07"
6,https://www.mosplastica.ru/services/plasticheskaya-khirurgiya/plastika-grudi/ginekomastiya/,8,3,7,4,71,0.64,"2019-08-12 20:59:36","2020-06-16 04:47:14"
7,https://www.mosplastica.ru/services/plasticheskaya-khirurgiya/plastika-litsa/endoskopicheskiy-lifting-litsa/,11,4,7,4,23,0.21,"2020-04-15 00:56:14","2020-06-15 17:54:51"
8,mosplastica.ru,34,12,7,4,231,2,"2015-04-15 12:17:31","2020-06-15 02:52:42"
9,https://www.mosplastica.ru/services/plasticheskaya-khirurgiya/abdominoplastika/,7,2,6,3,43,0.39,"2020-03-04 12:16:31","2020-06-14 12:39:18"
10,абдоминопластика,6,2,6,3,12,0.11,"2014-06-07 22:30:27","2020-05-12 22:16:57"
11,https://www.mosplastica.ru/services/plasticheskaya-khirurgiya/plastika-grudi/podtyazhka-grudi/,9,3,5,3,91,0.82,"2019-09-10 08:16:11","2020-06-15 22:54:28"
12,"пластика половых губ",5,2,5,3,8,0.07,"2016-02-15 22:38:23","2020-05-26 22:10:46"
13,,9,3,4,2,20,0.18,,"2020-06-16 07:03:32"
14,http://www.mosplastica.ru/,10,4,4,2,23,0.21,"2018-02-11 23:12:09","2020-06-16 08:47:51"
15,"https://www.mosplastica.ru/services/pla ... hka-grudi/",4,1,4,2,32,0.29,"2020-04-17 17:49:11","2020-06-12 09:18:10"
16,"https://www.mosplastica.ru/services/pla ... oplastika/",7,2,4,2,28,0.25,"2020-02-07 05:29:53","2020-06-16 09:16:10"
17,https://www.mosplastica.ru/services/plasticheskaya-khirurgiya/blefaroplastika/,5,2,4,2,11,0.10,"2020-02-01 08:45:58","2020-05-04 23:49:29"
18,https://www.mosplastica.ru/services/plasticheskaya-khirurgiya/intimnaya-plastika/zhenskaya-intimnaya-plastika/labioplastika/,7,2,4,2,53,0.48,"2020-02-01 11:03:54","2020-06-10 13:55:08"
19,https://www.mosplastica.ru/services/plasticheskaya-khirurgiya/plastika-litsa/smas-lifting/,8,3,4,2,53,0.48,"2020-02-27 18:31:16","2020-06-16 00:29:59"
20,"скидку на увеличение груди",4,1,4,2,5,0.05,"2018-03-31 10:29:25","2020-04-20 23:42:41"
21,http://mosplastica.ru,6,2,3,2,92,0.83,"2017-05-13 22:44:42","2020-06-16 06:32:38"
22,https://www.mosplastica.ru/services/...lifting-litsa/,3,1,3,2,47,0.42,"2020-04-14 07:38:01","2020-06-08 03:18:04"
23,https://www.mosplastica.ru/services/plastic...-lifting-litsa/,3,1,3,2,34,0.31,"2020-04-11 09:53:04","2020-06-10 08:48:26"
24,https://www.mosplastica.ru/services/plastic...-verkhnikh-vek/,3,1,3,2,67,0.60,"2019-08-15 09:02:17","2020-06-09 06:35:15"
25,https://www.mosplastica.ru/services/plastic...a/smas-lifting/,3,1,3,2,63,0.57,"2020-03-13 18:18:25","2020-05-01 11:31:32"
26,https://www.mosplastica.ru/services/plastic...lefaroplastika/,3,1,3,2,48,0.43,"2020-02-01 01:21:57","2020-06-08 04:13:14"
27,https://www.mosplastica.ru/services/plasticheskaya-khirurgiya/plastika-grudi/,8,3,3,2,45,0.41,"2019-08-24 06:38:11","2020-06-07 05:08:30"
28,"mont blanc",6,2,3,2,26,0.23,"2016-03-25 23:46:59","2020-06-13 15:43:15"
29,smas-лифтинг,3,1,3,2,7,0.06,"2017-05-25 08:28:35","2020-05-04 09:45:04"
30,"анвар шухратович салиджанов",3,1,3,2,12,0.11,"2015-08-18 04:30:25","2020-06-04 14:42:01"
31,"верхняя блефаропластика",3,1,3,2,16,0.14,"2020-03-06 08:17:09","2020-06-11 19:54:53"
32,"избавиться от глубоких морщин",3,1,3,2,6,0.05,"2016-03-14 09:42:28","2020-04-22 02:28:39"
33,"как убрать второй подбородок",3,1,3,2,5,0.05,"2016-03-15 15:56:13","2020-03-21 16:12:28"
34,"мон блан",3,1,3,2,38,0.34,"2016-05-21 15:15:01","2020-05-06 23:04:12"
35,"пластике тубулярной груди",3,1,3,2,8,0.07,"2016-03-19 07:24:49","2020-02-10 06:56:09"
36,"пластики носа без операции",3,1,3,2,7,0.06,"2016-02-28 19:46:30","2020-05-11 12:49:46"
37,"подтяжка кожи",3,1,3,2,5,0.05,"2016-02-17 15:26:35","2020-02-27 06:19:28"
38,"ринопластика кончика носа",3,1,3,2,7,0.06,"2016-03-13 18:11:48","2020-05-14 02:14:53"
39,"рубцы после эпизиотомии",3,1,3,2,7,0.06,"2015-07-23 00:15:05","2020-03-14 09:58:32"
40,"сарвар казимович бакирханов",4,1,3,2,8,0.07,"2015-08-06 02:11:22","2020-03-24 04:03:09"
41,http://www.mosplastica.ru/services/intimna...h-polovykh-gub/,2,0.70,2,1,2,0.02,"2017-03-14 23:12:09","2019-10-30 10:17:23"
42,https://www.mosplastica.ru/services/.../smas-lifting/,4,1,2,1,25,0.23,"2020-03-14 10:50:13","2020-06-05 02:11:57"
43,https://www.mosplastica.ru/services/...ominoplastika/,4,1,2,1,42,0.38,"2020-03-05 20:08:12","2020-06-06 12:35:10"
44,https://www.mosplastica.ru/services/pla,2,0.70,2,1,3,0.03,"2019-12-08 14:21:21","2020-04-13 03:52:14"
45,"https://www.mosplastica.ru/services/pla ... komastiya/",2,0.70,2,1,3,0.03,"2019-12-08 14:21:21","2020-04-13 03:52:14"
46,https://www.mosplastica.ru/services/plasticheskaya-khirurgiya/intimnaya-...,2,0.70,2,1,9,0.08,"2020-02-22 01:52:32","2020-04-14 04:44:46"
47,source,2,0.70,2,1,2,0.02,"2019-05-20 07:04:10","2020-03-10 19:58:49"
48,"анвар салиджанов",2,0.70,2,1,9,0.08,"2016-03-01 05:08:50","2020-04-13 09:23:38"
49,блефаропластика,3,1,2,1,3,0.03,"2018-02-05 05:24:44","2020-02-09 11:17:34"
50,"ворошкевич павел андреевич",2,0.70,2,1,4,0.04,"2019-12-01 08:31:04","2020-04-08 15:17:09"
51,"гипергидроз ладоней лечение ботоксом",2,0.70,2,1,4,0.04,"2014-09-01 21:51:31","2019-06-02 17:39:21"
52,"госпиталь мира",3,1,2,1,4,0.04,"2019-10-22 13:24:14","2020-06-06 20:57:12"
53,"клиника mont blanc",3,1,2,1,5,0.05,"2016-03-13 09:54:56","2020-05-30 09:22:15"
54,лабиопластика,2,0.70,2,1,4,0.04,"2020-02-18 22:26:57","2020-05-16 07:56:11"
55,"марк стабиле",2,0.70,2,1,6,0.05,"2016-02-28 00:05:32","2020-03-14 20:12:37"
56,монблан,2,0.70,2,1,6,0.05,"2016-05-08 13:53:27","2020-04-16 22:28:52"
57,"нижняя блефаропластика",2,0.70,2,1,15,0.14,"2020-04-27 16:50:52","2020-06-11 19:54:53"
58,"нити аптос",2,0.70,2,1,2,0.02,"2013-08-09 15:24:37","2020-05-31 02:43:58"
59,"пластика лица",2,0.70,2,1,2,0.02,"2019-08-10 13:43:59","2019-11-30 17:17:15"
60,ринопластика,2,0.70,2,1,3,0.03,"2013-08-10 22:17:58","2020-02-03 19:56:22"
61,"сарвар бакирханов",2,0.70,2,1,4,0.04,"2016-03-16 15:10:27","2020-05-18 07:51:23"
62,смас-лифтинг,2,0.70,2,1,5,0.05,"2018-12-06 23:17:18","2020-01-27 19:09:25"
63,"увеличения груди",2,0.70,2,1,3,0.03,"2019-01-04 19:28:12","2019-01-24 17:16:39"
64,"""мон блан""",1,0.35,1,0.55,8,0.07,"2019-02-22 15:45:27","2019-10-07 08:57:39"
65,"""отделение пластической хирургии цкб №6 ржд""",1,0.35,1,0.55,2,0.02,"2020-01-21 07:11:34","2020-01-27 15:05:14"
66,763bb0afdd6f8698515644eee665c0b0.jpg,1,0.35,1,0.55,1,0.01,"2020-05-31 13:01:13","2020-05-31 13:01:13"
67,9c86c0f3630b20a37a67c5825f95c3ef.png,2,0.70,1,0.55,2,0.02,"2019-09-07 16:30:49","2020-06-07 06:06:29"
