#,"Anchor Text","Referring Domains Total","Referring Domains with Anchor (Percent %)","Referring Domains Dofollow (desc)","Referring Domains Dofollow with Anchor (Percent %)","Referring Pages Count","Referring Pages with Anchor (Percent %)","First Seen","Last Check"
1,novoclinic.ru,49,24,15,10,250,13,"2015-01-26 10:55:40","2020-06-15 20:24:49"
2,http://novoclinic.ru,9,4,5,3,113,6,"2017-03-06 10:03:30","2020-06-14 23:22:55"
3,http://novoclinic.ru/,10,5,4,3,36,2,"2013-10-12 12:17:18","2020-06-11 19:55:13"
4,http://novoclinic.ru/faq/problemy-zdorovya/pastoznost/,4,2,4,3,4,0.20,"2018-12-22 10:00:40","2020-05-21 07:51:20"
5,https://novoclinic.ru/,8,4,4,3,23,1,"2019-07-03 06:47:28","2020-06-10 07:38:26"
6,,5,2,3,2,16,0.80,,"2020-06-16 02:06:39"
7,"газожидкостный пилинг",3,1,3,2,4,0.20,"2016-12-26 04:13:12","2020-05-23 11:59:03"
8,"лаваж кишечника",3,1,3,2,4,0.20,"2019-02-23 19:33:09","2020-06-06 03:24:07"
9,www.novoclinic.ru,2,0.96,2,1,4,0.20,"2014-12-02 20:27:51","2019-12-10 23:45:09"
10,«новоклиник»,2,0.96,2,1,10,0.50,"2018-02-02 16:57:30","2020-02-11 19:20:11"
11,"безоперационная липосакция живота",2,0.96,2,1,15,0.75,"2019-04-09 03:19:45","2019-11-15 15:55:25"
12,"биоревитализацией в москве",2,0.96,2,1,2,0.10,"2019-02-18 05:27:40","2020-05-29 12:16:41"
13,"биоревитализация гиалуроновой кислотой",2,0.96,2,1,3,0.15,"2014-11-10 02:54:44","2020-03-27 01:57:25"
14,"ботокс в лоб",2,0.96,2,1,2,0.10,"2020-05-28 17:51:23","2020-06-06 03:24:07"
15,"ботокс губ цена москва",2,0.96,2,1,15,0.75,"2018-11-02 03:35:42","2020-04-23 16:28:59"
16,"гликолевый пилинг",2,0.96,2,1,12,0.60,"2019-02-22 23:00:21","2020-05-23 11:59:03"
17,"заказать звонок",2,0.96,2,1,6,0.30,"2020-02-17 00:46:13","2020-04-18 10:54:44"
18,"институт красоты и косметологии москва",2,0.96,2,1,13,0.65,"2019-02-26 05:28:25","2020-04-24 09:05:42"
19,"клиника пластической хирургии",2,0.96,2,1,3,0.15,"2014-11-19 16:39:33","2020-01-25 20:50:41"
20,"контурная пластика",2,0.96,2,1,2,0.10,"2014-11-10 02:54:44","2020-05-28 17:51:23"
21,"мезотерапия глаз",2,0.96,2,1,2,0.10,"2014-11-10 02:54:44","2019-12-02 23:48:18"
22,новоклиник,4,2,2,1,768,38,"2016-04-19 06:17:57","2020-06-07 08:17:04"
23,"обертывания бывают водорослевые",2,0.96,2,1,4,0.20,"2015-05-18 05:47:30","2020-04-09 18:26:28"
24,"обертываниям для похудения",2,0.96,2,1,4,0.20,"2015-05-18 05:47:30","2020-04-09 18:26:28"
25,"озонотерапия в москве адреса и цены",2,0.96,2,1,2,0.10,"2018-07-02 11:26:49","2020-05-10 01:23:38"
26,"озонотерапия лица",2,0.96,2,1,2,0.10,"2019-02-18 05:27:40","2020-05-29 12:16:41"
27,ринопластика,2,0.96,2,1,2,0.10,"2019-10-31 14:47:05","2020-06-05 14:57:28"
28,"ручной антицеллюлитный массаж. какой",2,0.96,2,1,3,0.15,"2019-01-17 02:11:31","2020-05-24 21:24:04"
29,"современная клиника пластической хирургии",2,0.96,2,1,2,0.10,"2018-12-21 09:45:07","2020-06-07 20:29:50"
30,"ювидерм под глазами",2,0.96,2,1,13,0.65,"2019-04-19 14:02:58","2020-04-23 09:47:42"
31,"���������� ���������� �������",2,0.96,2,1,22,1,"2019-01-16 19:45:47","2020-04-21 23:53:58"
32,"""novoclinic"" - институт пластической хирургии",1,0.48,1,0.68,2,0.10,"2020-01-27 16:25:58","2020-02-17 19:30:04"
33,"http://novoclinic.ru/,",1,0.48,1,0.68,4,0.20,"2018-12-02 21:42:25","2020-06-08 23:01:31"
34,http://novoclinic.ru/kosmetologiya/lazernaya-epilyatsiya/ceny/,1,0.48,1,0.68,1,0.05,"2020-06-14 06:25:32","2020-06-14 06:25:32"
