#,"Total Backlinks","Domain Rating","URL Rating (desc)","Referring Domains","Referring Page URL","Referring Page Title","Internal Links Count","External Links Count","Link URL",TextPre,"Link Anchor",TextPost,Type,"Backlink Status","First Seen","Last Check","Day Lost",Language,Traffic,Keywords,"Js rendered","Linked Domains"
1,1,23,28,55,https://centerfis.com/,"Глазная клиника Фёдоровой Ирины Святославны – Центр ФИС",29,11,https://www.frauklinik.ru/,,,,"Dofollow, Image",,"2020-01-04 16:37:08","2020-06-13 08:21:02",,,25,85,,10
2,2,11,20,18,https://sportnoj.ru/,"Операции на молочной железе у Портного Сергея Михайловича",20,7,http://www.frauklinik.ru/,,www.frauklinik.ru,,Dofollow,,"2019-05-30 20:32:28","2020-06-12 22:47:12",,ru,2.8,4,,5
3,2,64,20,17,http://art-beads.sitecity.ru/,"Бисер. Личная галерея Татьяны Манковой. Gallery of bead-works.",15,9,http://www.frauklinik.ru/,Клиника,"пластической хирургии","Фрауклиник. Худеем под душем Шарко в центре Трио",Dofollow,,"2015-03-30 00:48:17","2020-05-04 11:05:09",,ru,0,0,,7
4,36,90,18,1,http://link.2gis.ru/1.2/5EBC35FE/webapi/20200301/project32/70000001021373754/altdir.ru/rjcoo408496H311311IGGGG2x1n7ht73G6G74B9H4H75G3H1wjui7B629AG3G1I70346IJ4Judh3uv188808314969HH1JB251?http://www.frauklinik.ru,,0,1,http://www.frauklinik.ru/,,перейти,.,"Dofollow, Content",,"2020-03-30 07:08:27","2020-03-30 07:08:27",,,0,0,,1
5,1,93,15,,https://yandex.ru/yaca/cat/Private_Life/Beauty/Plastic_surgery/,"Яндекс.Каталог: Пластическая хирургия",31,24,http://www.frauklinik.ru/,,"«Frauklinik» — клиника пластической хирургии",,Dofollow,,"2016-04-24 03:20:48","2016-07-31 08:21:15",,ru,,,,13
6,1,85,15,1,https://www.kp.ru/guide/tseny-na-rinoplastiku.html,"Цены на ринопластику: сколько стоит пластика носа в Москве?",61,20,https://www.frauklinik.ru/,"P. S.На сайте","«Фрау Клиник»","представлен полный перечень услуг, которые оказывают в медицинском центре. Также",Nofollow,,"2019-12-17 13:57:06","2019-12-17 13:57:06",,ru,1343,258,,11
7,2,85,15,1,https://www.kp.ru/guide/skol-ko-stoit-blefaroplastika.html,"Сколько стоит блефаропластика в Москве: виды операций и цены",62,21,https://www.frauklinik.ru/,"* ООО","«Фрау Клиник»","осуществляет медицинскую деятельность на основании лицензий, выданных Департаментом здравоохранения города",Nofollow,,"2019-12-24 13:32:33","2019-12-24 13:32:33",,ru,1174,47,,11
8,1,85,14,0,https://www.kp.ru/guide/korrektsija-formy-nosa.html,"Коррекция формы носа: как изменить форму носа и сколько это стоит в Москве?",61,20,https://www.frauklinik.ru/,"P. S.На сайте","«Фрау Клиник»","представлен полный перечень услуг, оказываемых центром эстетической медицины. Там же",Nofollow,,"2019-12-19 06:32:35","2019-12-19 06:32:35",,ru,813,465,,11
9,2,44,13,1,https://chudo.tech/2020/03/08/vypusk-programmy-chudo-tehniki-ot-8-marta-2020/,"Выпуск программы «Чудо техники» от 8 марта 2020 | Чудо техники",66,23,https://www.frauklinik.ru/,"и косметологии профессора Блохина С.Н. и доктора Вульфа И.А. «","Frau Klinik","» за прекрасное сотрудничество, профессионализм и неоценимую помощь в создании","Dofollow, Content",,"2020-04-09 13:02:14","2020-04-28 07:31:40",,ru,0,0,,19
10,13,62,13,1,https://www.kleo.ru/consult/plastich/questions_616.shtml,"Нужно ли с течением времени удалять имплантаты?",100,8,http://www.frauklinik.ru/,,www.frauklinik.ru,,Nofollow,,"2019-08-18 01:27:39","2020-05-16 08:52:54",,ru,0,0,,8
