#,"Anchor Text","Referring Domains Total","Referring Domains with Anchor (Percent %)","Referring Domains Dofollow (desc)","Referring Domains Dofollow with Anchor (Percent %)","Referring Pages Count","Referring Pages with Anchor (Percent %)","First Seen","Last Check"
1,www.blokhin.ru,16,10,10,8,128,13,"2013-08-10 02:43:44","2020-06-16 06:57:10"
2,"уменьшение груди",7,4,7,5,13,1,"2014-04-03 22:16:45","2020-05-31 15:04:11"
3,"подтяжка лба",6,4,6,5,7,0.71,"2013-08-09 16:41:06","2020-05-27 16:00:39"
4,blokhin.ru,12,7,5,4,19,2,"2015-10-28 12:06:18","2020-06-07 08:01:29"
5,"лучшего пластического хирурга",5,3,5,4,15,2,"2019-05-31 19:51:09","2020-06-12 17:10:11"
6,http://www.blokhin.ru/,5,3,4,3,15,2,"2015-09-05 18:58:44","2020-06-02 17:52:12"
7,"пластический хирург",4,2,4,3,6,0.61,"2013-08-09 23:30:07","2020-06-10 01:34:19"
8,"подтяжка груди",4,2,4,3,8,0.82,"2017-04-18 07:53:38","2020-04-25 07:30:59"
9,"сергей николаевич блохин",6,4,4,3,9,0.92,"2016-02-28 02:40:10","2020-06-05 03:37:14"
10,http://www.blokhin.ru,3,2,3,2,26,3,"2017-04-08 23:04:49","2020-06-08 01:25:26"
11,"лучший пластический хирург",3,2,3,2,5,0.51,"2016-02-18 19:13:06","2020-06-12 07:45:51"
12,мастопексия,3,2,3,2,6,0.61,"2017-04-18 07:53:38","2020-04-26 12:07:12"
13,"обвисшая грудь",3,2,3,2,6,0.61,"2015-09-16 02:54:58","2020-05-30 03:50:34"
14,"пластика влагалища",3,2,3,2,3,0.31,"2015-04-09 03:44:48","2020-04-11 08:39:46"
15,"пластический хирург москва",3,2,3,2,5,0.51,"2018-02-20 19:08:39","2020-06-15 02:18:27"
16,"пластический хирург. москва",3,2,3,2,8,0.82,"2018-12-21 01:17:51","2020-06-10 11:19:09"
17,"уменьшение ягодиц",3,2,3,2,9,0.92,"2015-10-07 12:36:36","2020-06-10 03:45:07"
18,фейслифтинг,3,2,3,2,4,0.41,"2018-04-13 08:48:05","2020-05-30 09:42:41"
19,чек-лифтинг,3,2,3,2,3,0.31,"2013-08-09 16:41:06","2020-06-03 10:14:26"
20,,5,3,2,2,9,0.92,,"2020-06-14 08:35:12"
21,http://blokhin.ru/,2,1,2,2,2,0.20,"2016-10-19 07:09:46","2020-04-11 09:38:17"
22,https://blokhin.ru/,4,2,2,2,8,0.82,"2019-06-02 03:37:56","2020-06-14 17:12:34"
23,абдоминопластика,2,1,2,2,2,0.20,"2019-01-06 18:35:47","2020-05-03 05:33:11"
