#,"Total Backlinks","Domain Rating","URL Rating (desc)","Referring Domains","Referring Page URL","Referring Page Title","Internal Links Count","External Links Count","Link URL",TextPre,"Link Anchor",TextPost,Type,"Backlink Status","First Seen","Last Check","Day Lost",Language,Traffic,Keywords,"Js rendered","Linked Domains"
1,11195,49,32,126,https://www.tecrussia.ru/,"Пластическая хирургия",291,16,http://www.frauklinik.ru/price/actions.php,,"Пластические операции",,"Dofollow, Image",,"2020-05-12 02:31:51","2020-06-15 22:33:01",,,0,0,,12
2,1,49,32,126,https://www.tecrussia.ru/,"Пластическая хирургия",291,16,https://www.frauklinik.ru/plasticheskaya-hirurgia/unikalnaya_promejnost_3_in_1.php,,"Подробнее о скидках...",,"Dofollow, Image",,"2020-02-28 13:43:42","2020-06-15 22:33:01",,,0,0,,12
3,367,73,24,33,https://medportal.ru/enc/sexology/erection/18/,"Перелом полового члена. Урология",78,14,http://www.frauklinik.ru/?utm_source=medportal,,"Клиника пластической хирургии, косметологии и женского здоровья",,Nofollow,,"2019-10-16 21:19:41","2020-06-15 07:34:23",,ru,296,152,,10
4,4050,49,22,27,https://www.tecrussia.ru/plasticheskie-hirurgi/perm/,"Пластические хирурги – Пермь, пластическая хирургия в Перми",95,18,https://www.frauklinik.ru/plasticheskaya-hirurgia/unikalnaya_promejnost_3_in_1.php,,"Подробнее о клинике...",,"Dofollow, Image",,"2020-02-28 04:49:21","2020-06-15 12:24:46",,ru,0,1,,13
5,46,73,22,26,https://medportal.ru/enc/orthopedy/reading/2/,"Как выбрать правильную обувь. Всё о стопе",51,13,http://frauklinik.ru/plasticheskaya-hirurgia/direkt/travmatologiya_ortopediya_frauklinik.php/?utm_source=medportal,,"Артроскопия и протезирование суставов. Удаление косточки на ноге. Увеличение роста.",,Nofollow,,"2019-11-21 06:01:00","2020-06-15 19:40:51",,ru,75,101,,10
6,37,73,20,21,https://medportal.ru/enc/besplodie/male/5/,"От чего зависит качество спермы. Мужское здоровье",72,13,http://frauklinik.ru/ginekologia/besplodie.php/,,"Все виды анализов и диагностики. Лечение всех видов и форм бесплодия. Стационар премиум-класса.",,Nofollow,,"2020-05-09 15:57:33","2020-06-15 17:12:36",,ru,49,46,,10
7,2,11,20,18,https://sportnoj.ru/,"Операции на молочной железе у Портного Сергея Михайловича",20,7,http://www.frauklinik.ru/,,www.frauklinik.ru,,Dofollow,,"2019-05-30 20:32:28","2020-06-14 21:20:35",,,2.8,4,,5
8,1,98,19,,https://www.youtube.com/channel/UC7Ma54u6fd7O_-A4rqGe0Fg,"Frau Klinik - YouTube",139,18,http://frauklinik.ru/,,"Frau Klinik",,"Nofollow, Image",,"2015-03-15 13:56:44","2016-03-24 20:30:18",,en,,,,9
9,44,90,18,1,http://link.2gis.ru/1.2/5EBC35FE/webapi/20200301/project32/70000001021373754/altdir.ru/rjcoo408496H311311IGGGG2x1n7ht73G6G74B9H4H75G3H1wjui7B629AG3G1I70346IJ4Judh3uv188808314969HH1JB251?http://www.frauklinik.ru,,0,1,http://www.frauklinik.ru/,,перейти,.,"Dofollow, Content",,"2020-03-30 07:08:27","2020-03-30 07:08:27",,,0,0,,1
10,443,0,17,14,https://mam-molog.ru/,"Маммология: мастопатия, мастит. Клиника маммологии м. Курская.",27,6,http://www.frauklinik.ru/ginekologia/intimnoe_omolozhenie.php,,"Интимное омоложение в ""Frau Klinik""",,Dofollow,,"2019-11-04 20:36:44","2020-06-16 03:22:24",,,0,0,,1
11,213,0,17,14,https://mam-molog.ru/,"Маммология: мастопатия, мастит. Клиника маммологии м. Курская.",27,6,http://www.frauklinik.ru/plasticheskaya-hirurgia/intimnaya-hirurgia.php,,"Интимная хирургия в ""Frau Klinik""",,Dofollow,,"2019-11-04 20:36:44","2020-06-16 03:22:24",,,0,0,,1
12,73,73,16,8,https://medportal.ru/enc/krasota/skin/1/,"Что такое целлюлит. Красота и здоровье",58,14,http://frauklinik.ru/about/adw/frau_klinik_lefortovo.php/,,"Все виды анализов и диагностики. Гинекология, эндокринология, урология, косметология, восстановление организма после родов.",,Nofollow,,"2019-08-22 21:57:52","2020-06-14 09:53:48",,ru,691,82,,10
13,24,73,16,6,https://medportal.ru/enc/nutrition/diet/13/,"Диета по группе крови (диета П.Д'Адамо). Диетология",88,10,http://www.frauklinik.ru/?utm_source=medportal,,"Клиника пластической хирургии и косметологии профессора Блохина С.Н. и доктора Вульфа И.А.",,Nofollow,,"2020-03-31 04:11:16","2020-06-13 20:18:55",,ru,674,171,,10
