#,"Total Backlinks","Domain Rating","URL Rating (desc)","Referring Domains","Referring Page URL","Referring Page Title","Internal Links Count","External Links Count","Link URL",TextPre,"Link Anchor",TextPost,Type,"Backlink Status","First Seen","Last Check","Day Lost",Language,Traffic,Keywords,"Js rendered","Linked Domains"
1,6,56,23,39,https://allois.blox.ua/,"Allois | allois",28,51,http://gmt-clinic.ru/n/clinic/kosmetologiya/kosmetologiya-lica/inekcionnaya-kosmetologiya-lica/omolozhenie-lica/mezoterapiya,"к применению и наблюдаемый эффект. Доктор, являющийся владельцем способом мезотерапии",подробнее,", это не просто хороший косметолог с «легкой рукой». Это",Dofollow,,"2018-04-21 08:12:31","2020-06-15 16:39:40",,ru,0,0,,13
2,308,73,22,26,https://medportal.ru/enc/orthopedy/reading/2/,"Как выбрать правильную обувь. Всё о стопе",51,13,http://gmt-clinic.ru/,,"Современный центр anti-age медицины в области совершенствования внешности и здоровья",,Nofollow,,"2020-03-24 21:22:06","2020-06-15 19:40:51",,ru,75,101,,10
3,2,11,20,29,https://www.zveno.com.ua/,"Профессиональная веб разработка: сайты, интернет-магазины, веб-приложения и сервисы",1,15,http://gmt-clinic.ru/,,GMTClinic,,Dofollow,,"2020-06-08 07:28:48","2020-06-15 09:54:32",,ru,4.8,6,Yes,10
4,4,90,19,16,https://perecusim.ucoz.ru/,"Блог - ДАВАЙТЕ ПЕРЕКУСИМ ДРУЗЬЯ",65,19,http://gmt-clinic.ru/gmt-klinika-krasoty-na-arbate,"Подгруппа высокотравная",http://gmt-clinic.ru/gmt-klinika-krasoty-na-arbate,"Вдоль ключиков, часто текущих среди такого высокотравья, вклиниваются узкие полоски",Dofollow,,"2020-06-05 16:42:03","2020-06-16 08:07:57",,ru,,,,14
5,12,85,16,3,https://hh.ru/employer/1589264,"Вакансии компании ДжиЭмТи",57,10,http://www.gmt-clinic.ru/,,www.gmt-clinic.ru,,Nofollow,,"2019-02-02 06:49:40","2020-01-22 19:09:10",,fr,0.95,4,,7
6,21,19,16,10,http://skodarapidclub.ru/forum/showthread.php?t=1607,"Подработка специалистам в свободное время - Форум Skoda Rapid Club",67,8,http://gmt-clinic.ru/3d-rf-lifting-infini-igolchatiy,"меня отпуск и есть свободное время, то я хожу сюда",http://gmt-clinic.ru/3d-rf-lifting-infini-igolchatiy,"на косметологические процедуры, а так же ежедневно посещаю бассейн. В",Dofollow,,"2019-12-19 07:00:40","2020-06-15 09:15:52",,ru,0,0,,4
7,2,92,15,,http://www.liveinternet.ru/tags/омоложение+лица/,"омоложение лица - Самое интересное в блогах",177,46,http://gmt-clinic.ru/,,"Косметология лица","предусматривает различные способы омоложения лица, при проведении которых учитывается возраст",Dofollow,,"2017-12-11 02:17:11","2017-12-11 02:17:11",,ru,,,,23
8,24,90,14,1,http://link.2gis.ru/1.2/D6AC2465/webapi/20200301/project32/70000001018176298/flamp.ru/9EDmD16769I8010J566Ad2zilqG5I40J541492A6zImdo22665J4IG4J2IH04fsewG35B5020133A8H2HJ7HGJIJG5A2?http://gmt-clinic.ru,,0,2,http://gmt-clinic.ru/,,перейти,.,"Dofollow, Content",,"2020-04-02 00:02:16","2020-04-02 00:02:16",,,0,0,,1
9,1,90,13,1,https://yandex.com/maps/org/gmtclinic/1323973524/,"GMTClinic, cosmetology, Russia, Moscow, Novinsky Boulevard, 20Ас9 — Yandex.Maps",37,13,https://gmt-clinic.ru/,,gmt-clinic.ru,,Nofollow,,"2020-06-03 23:59:40","2020-06-03 23:59:40",,en,0,0,,6
10,1,90,13,1,https://yandex.com/maps/org/gmtclinic/1323973524/,"GMTClinic, cosmetology, Russia, Moscow, Novinsky Boulevard, 20Ас9 — Yandex.Maps",37,13,https://gmt-clinic.ru/make_an_appointment,,"Записаться на приём",,Nofollow,,"2020-06-03 23:59:40","2020-06-03 23:59:40",,en,0,0,,6
11,2,54,13,0,https://trendymen.ru/stuff/p189/125651/,"Лучшие женские подарки на Новый год",41,10,https://gmt-clinic.ru/gifts,"и приятным подарком, то обязательно обратите внимание на подарочные сертификаты",GMTClinic,". Совсем недавно она в очередной раз стала лучшей сетью",Dofollow,,"2018-12-30 11:13:56","2020-05-18 16:08:03",,ru,0,0,,9
12,1,64,13,4,https://peopletalk.ru/article/polnyj-relaks-top-mest-gde-delayut-luchshij-massazh/,"Расслабляющий массаж - отзывы о лучших массажных салонах в Москве на PEOPLETALK",92,20,https://gmt-clinic.ru/,Где:,"GMT Clinic",,"Dofollow, Content",,"2019-05-10 04:26:36","2020-06-12 17:27:56",,ru,4.5,20,,17
13,2,80,13,2,https://ru.hellomagazine.com/krasota-i-zdorove/ukhod-za-kozhey-i-volosami/10428-kak-privesti-sebya-v-poryadok-pered-svadboy-obzor-salonnykh-protcedur.html,"Как привести себя в порядок перед свадьбой: обзор салонных процедур, HELLO! Russia",96,30,http://gmt-clinic.ru/,"Процедура Hialurox в Клинике Немецких Медицинских Технологий",GMTСlinic,,"Dofollow, Content",,"2019-01-14 01:18:28","2019-06-06 20:37:36",,ru,0,0,,19
14,2,76,13,0,https://fb.ru/post/skin-care/2018/10/10/30845,"Как выбрать клинику эстетической медицины",63,5,http://gmt-clinic.ru/,,GMTClinic,,"Nofollow, Content",,"2019-09-16 22:26:54","2020-04-28 13:49:19",,ru,0,0,,2
15,2,76,13,0,https://fb.ru/post/skin-care/2018/10/10/30845,"Как выбрать клинику эстетической медицины",63,5,http://gmt-clinic.ru/about/koncepciya-gmtclinic,,"рубрику «О нас»",,"Nofollow, Content",,"2019-09-16 22:26:54","2020-04-28 13:49:19",,ru,0,0,,2
16,6,63,13,0,http://post.su/forum/bolshoi-forum/zdorove-meditcina/zhenskoe-zdorove/kak-ubrat-morshchinki/stranitca-7,"Как убрать морщинки? - Форумы и обсуждения. Присоединяйтесь!",319,9,http://gmt-clinic.ru/tredlifting-lica-3d-mezonityami,,http://gmt-clinic.ru/tredlifting-lica-3d-mezonityami,,Dofollow,,"2019-09-03 16:59:43","2020-05-12 10:23:13",,ru,0,0,,6
17,27,57,12,0,https://www.apoi.ru/forum/viewtopic.php?f=204&p=643701,"Apoi.ru • Просмотр темы - Ринопластика",26,10,http://gmt-clinic.ru/plastika-nosa-rinoplastika,"Обращайтесь в медицинскую клинику. Там провести ринопластику носа",http://gmt-clinic.ru/plastika-nosa-rinoplastika,"так, что ничего заметно не будет. Избавитесь от горбинки, можете",Dofollow,,"2020-03-29 22:05:13","2020-04-05 04:44:37",,ru,0,0,,6
18,2,63,12,0,http://post.su/forum/bolshoi-forum/zdorove-meditcina/zhenskoe-zdorove/sukhaia-kozha,"Сухая кожа - Форумы и обсуждения. Присоединяйтесь!",312,8,https://gmt-clinic.ru/omolozhenie-lica,"процедуры омоложения лица в ГМТ Клиник помогли избавиться от морщин",https://gmt-clinic.ru/omolozhenie-lica,"да и в целом сделать кожу более приятной и красивой.",Dofollow,,"2019-10-09 00:31:53","2020-05-04 07:16:00",,ru,0,0,,6
19,6,54,12,0,https://trendymen.ru/lifestyle/health/125382/,"Косметолог у аппарата: 5 лучших процедур этой осени",40,7,http://gmt-clinic.ru/,"несовершенства уже после одной процедуры! Об эффективных beauty-новинках рассказывают врачи","Клиники Немецких Медицинских Технологий","GMTClinic .",Dofollow,,"2018-11-01 03:18:11","2020-05-10 01:14:03",,ru,0,0,,6
20,1,73,12,3,https://www.metronews.ru/novosti/reviews/vperedi-sezon-otpuskov-protestirovali-chetyre-procedury-po-korrekcii-figury-1549325/,"Впереди сезон отпусков: протестировали четыре процедуры по коррекции фигуры. Новости. Metro",88,34,https://gmt-clinic.ru/,"Процедуру на аппарате I-LIPO я тестировала в","Клинике Немецких Медицинских Технологий GMTClinic",.,"Dofollow, Content",,"2019-05-28 08:13:10","2020-06-15 07:44:13",,ru,0,0,,23
21,1,42,12,0,http://airsoftgun.ru/phpBB/viewtopic.php?f=195&p=1712467,"AirsoftGun.ru :: Просмотр темы - Свой салон.",56,14,https://gmt-clinic.ru/,"себе на вооружение. В частности, настоятельно рекомендую сходить вот сюда",https://gmt-clinic.ru/,". В данном медицинском центре оборудование одно из лучших .",Dofollow,,"2019-05-28 02:29:22","2019-05-28 02:29:22",,,0,0,,12
22,4,86,12,0,https://bitcointalk.org/index.php?action=profile;u=1496132;sa=showPosts,"Latest posts of: clockot",20,26,http://gmt-clinic.ru/biorevitalizaciya-lica-bezynekcionnaya,"на весь день. В этом году решила сделать омоложение лица",http://gmt-clinic.ru/biorevitalizaciya-lica-bezynekcionnaya,", муж уже согласился, лишь бы мне было спокойно и",Dofollow,,"2018-07-02 22:05:34","2020-02-19 16:02:47",,en,0,0,,13
23,1,65,12,2,https://letidor.ru/krasota/doloi-mify-mozhno-li-pobedit-akne-i-kak-eto-sdelat.htm,"Долой мифы: можно ли победить акне и как это сделать - Летидор",29,11,https://gmt-clinic.ru/,"«Летидор» попросил Дарию Тютчеву, к.м.н., косметолога, дерматовенеролога, трихолога","Клиники Немецких Медицинских Технологий GMTClinic","рассказать о самых популярных мифах о проблемной коже и акне.",Nofollow,,"2019-01-25 23:34:34","2020-04-29 11:17:50",,ru,0,1,,9
24,2,78,12,1,https://life.ru/p/914988,"Что звёзды скажут о ногах, или Когда идти к флебологу",36,10,http://gmt-clinic.ru/,"медицинских наук, врач-флеболог и сосудистый хирург Клиники Немецких Медицинских Технологий",GMTClinic,"Брюшков Антон Юрьевич тут же успокаивает, что высокую шпильку можно","Dofollow, Content",,"2020-04-25 12:07:32","2020-04-25 12:07:32",,ru,0,2,,5
25,2,78,12,2,https://www.superjob.ru/clients/dzhiemti-2693427.html,"Вакансии ДжиЭмТи в Москве, работа в ДжиЭмТи на Superjob",60,8,http://gmt-clinic.ru/,,gmt-clinic.ru,,Nofollow,,"2016-09-26 01:49:00","2020-03-07 11:55:46",,ru,0.01,1,,5
26,1,85,12,0,https://mos-dom-knigy-events.timepad.ru/event/905137/,"Пластический хирург Анвар Салиджанов в Московском Доме Книги / События на TimePad.ru",22,9,https://gmt-clinic.ru/,"Сайт клиники GMTClinic:",https://gmt-clinic.ru/,,Nofollow,,"2019-04-11 08:29:05","2020-06-14 16:51:33",,ru,0,0,,7
27,1,83,12,0,https://yandex.com.tr/profile/1323973524,Yandex,20,2,https://gmt-clinic.ru/,,gmt-clinic.ru,,Dofollow,,"2020-01-27 08:47:08","2020-04-20 00:29:58",,tr,0,0,,1
