#,"Total Backlinks","Domain Rating","URL Rating (desc)","Referring Domains","Referring Page URL","Referring Page Title","Internal Links Count","External Links Count","Link URL",TextPre,"Link Anchor",TextPost,Type,"Backlink Status","First Seen","Last Check","Day Lost",Language,Traffic,Keywords,"Js rendered","Linked Domains"
1,1,33,23,82,https://synergywoman.ru/,"Synergy Woman Forum",17,40,https://seline.ru/,,,,"Dofollow, Image",,"2020-03-18 22:29:27","2020-06-16 08:46:04",,ru,367,242,,31
2,2,93,14,1,https://yandex.ru/maps/org/selin/1764086930/,"Селин, пластическая хирургия, Большой Кондратьевский пер., 7 — Яндекс.Карты",56,8,https://seline.ru/,,seline.ru,,Nofollow,,"2020-03-20 10:19:43","2020-03-20 10:19:43",,ru,0,1,,6
3,1,58,14,0,https://mama.ru/forums/theme/lazernaya-kosmetologiya/,"Лазерная косметология - mama.ru",172,11,https://seline.ru/operations/lazernaya-kosmetologiya/,"у меня был опыт, проходила курс удаления пигментных пятен лазером",https://seline.ru/operations/lazernaya-kosmetologiya/,"в клиника эстетической медицины Seline, скажу сразу стоит серьезно относиться","Nofollow, Content",,"2019-10-25 15:56:38","2020-04-30 01:04:45",,ru,0,0,,10
4,13,71,14,0,https://primoryedogs.borda.ru/?1-6-0-00003703-000-0-0,,24,16,https://seline.ru/operations/chistka-zubov-air-flow/,"не травмировать зубы. Хороший вариант - чистка зубов air flow",https://seline.ru/operations/chistka-zubov-air-flow/https://seline.ru/operations/chistka-zubov-air-flow/,". Я делаю регулярно. И зубы становятся на несколько тонов",Dofollow,,"2019-11-05 03:00:34","2020-05-02 23:25:52",,ru,0,0,,9
5,1,79,14,0,https://omsk.bezformata.com/listnews/sohranit-krasivuyu-ulibku-v-lyubom/79602525/,"Омск | Как сохранить красивую улыбку в любом возрасте - БезФормата - Новости",158,12,https://seline.ru/,Источник:,seline.ru,.,"Dofollow, Content",,"2020-03-20 04:01:31","2020-03-20 04:01:31",,ru,0,0,,7
6,1,79,14,0,https://omsk.bezformata.com/listnews/sohranit-krasivuyu-ulibku-v-lyubom/79602525/,"Омск | Как сохранить красивую улыбку в любом возрасте - БезФормата - Новости",158,12,https://seline.ru/bitrix/templates/seline/img/mira/stomatology-01-smile2.jpg,,"консультация у стоматолога - ИА Новый Омск",,"Dofollow, Image",,"2020-03-20 04:01:31","2020-03-20 04:01:31",,ru,0,0,,7
7,1,79,14,0,https://omsk.bezformata.com/listnews/sohranit-krasivuyu-ulibku-v-lyubom/79602525/,"Омск | Как сохранить красивую улыбку в любом возрасте - БезФормата - Новости",158,12,https://seline.ru/bitrix/templates/seline/img/mira/stomatology-01-smile3.jpg,,"зубы после отбеливания - ИА Новый Омск",,"Dofollow, Image",,"2020-03-20 04:01:31","2020-03-20 04:01:31",,ru,0,0,,7
8,1,79,14,0,https://omsk.bezformata.com/listnews/sohranit-krasivuyu-ulibku-v-lyubom/79602525/,"Омск | Как сохранить красивую улыбку в любом возрасте - БезФормата - Новости",158,12,https://seline.ru/stomatologiya/,,"Стоматологические услуги","– это очень широкая сфера деятельности, в которую входит","Dofollow, Content",,"2020-03-20 04:01:31","2020-03-20 04:01:31",,ru,0,0,,7
9,1,58,13,0,https://mama.ru/forums/theme/krovotochat-desna/,"Кровоточат десна - mama.ru",180,11,https://seline.ru/operations/otbelivanie-zubov-zoom-4/,"вот у них сделала себе впервые отбеливание зубов ZOOM 4",https://seline.ru/operations/otbelivanie-zubov-zoom-4/,"— давно мечтала и не пожалела об этом не на",Nofollow,,"2019-09-26 01:43:05","2020-04-20 15:28:54",,ru,0,0,,11
10,1,42,13,0,http://koreaphone.ru/biorevitalizacziya-kozhi-licza-i-tela-v-chem-smysl-etoj-konczepczii.html,"Биоревитализация кожи лица и тела — в чем смысл этой концепции? | Студия красоты и очарования",49,1,https://seline.ru/consultations/biorevitalizatsiya-novacutan/7075/,"Биоревитализация кожи на",https://seline.ru/,"— это инновационный способ стимулирования процессов естественной регенерации кожи, который","Dofollow, Content",,"2020-03-25 06:05:37","2020-05-20 00:35:34",,ru,0,0,,1
11,1,58,13,0,https://mama.ru/forums/theme/pigmentatsiya-na-litse-chem-mozhno-osvetlit/,"Пигментация на лице, чем можно осветлить? - mama.ru",178,11,https://seline.ru/operations/lazernaya-kosmetologiya/,"просто тратить время и деньги) сделала удаление пигментных пятен лазером",https://seline.ru/operations/lazernaya-kosmetologiya/,"в клиника Seline и не жалею, результатом довольна) отдельный плюс",Nofollow,,"2019-10-22 10:57:19","2020-04-25 12:52:53",,ru,0,0,,10
12,1,76,13,2,http://likefunny.org/forum/ya-mama/903-ukhod-za-litsomlimitstart=0,"Форум - Тема: Уход за лицом (1/3) - LikeFunny.org",52,4,https://seline.ru/operations/biorevitalizatsiya/,"у них мне очень пришлась по душе биоревитализация гиалуроновой кислотой",seline.ru/operations/biorevitalizatsiya/,"- делала относительно недавно, результат есть и виден просто на",Nofollow,,"2020-03-09 00:29:31","2020-03-09 00:29:31",,ru,0,0,,4
13,1,58,12,0,https://mama.ru/forums/theme/bolyat-nogi-3/,"Болят ноги - mama.ru",177,10,https://seline.ru/operations/udalenie-sosudistykh-zvyezdochek/,"Мама меня уговорила обратиться к врачу и удалить сосудистую звездочку",https://seline.ru/operations/udalenie-sosudistykh-zvyezdochek/,"Чему сейчас я несказанно рада. Очень берегу теперь свои драгоценные",Nofollow,,"2019-11-04 10:09:18","2020-03-16 08:02:05",,ru,0,0,,10
