#,"Anchor Text","Referring Domains Total","Referring Domains with Anchor (Percent %)","Referring Domains Dofollow (desc)","Referring Domains Dofollow with Anchor (Percent %)","Referring Pages Count","Referring Pages with Anchor (Percent %)","First Seen","Last Check"
1,www.westmed.ru,41,20,19,16,130,0.57,"2013-08-09 11:13:31","2020-06-16 03:29:53"
2,"увеличение груди",11,5,11,9,65,0.29,"2013-08-10 08:29:05","2020-06-09 21:18:30"
3,ринопластика,12,6,10,8,28,0.12,"2013-10-12 17:46:59","2020-06-09 21:18:30"
4,http://www.westmed.ru,15,7,9,8,126,0.55,"2015-12-13 13:13:16","2020-06-14 06:04:51"
5,http://www.westmed.ru/,10,5,8,7,34,0.15,"2016-09-20 21:07:51","2020-06-11 10:09:07"
6,westmed.ru,38,19,7,6,6368,28,"2013-08-08 20:10:55","2020-06-14 08:48:42"
7,,8,4,6,5,60,0.26,,"2020-06-16 10:13:28"
8,блефаропластика,5,2,5,4,10,0.04,"2013-08-09 01:13:57","2020-04-20 17:34:51"
9,"пластика лица",5,2,5,4,8,0.04,"2018-07-29 22:02:34","2020-05-05 02:58:50"
10,"увеличение груди в клинике «вестмед»",5,2,5,4,10,0.04,"2017-08-18 07:35:22","2020-05-08 01:00:59"
11,westmed,6,3,4,3,26,0.11,"2015-03-22 19:15:08","2020-06-06 08:27:56"
12,липосакция,5,2,4,3,8,0.04,"2015-09-29 02:14:24","2020-01-01 04:23:22"
13,"подтяжка лица",3,1,3,3,5,0.02,"2013-08-10 11:39:37","2019-05-22 17:35:03"
14,фраксель,3,1,3,3,6,0.03,"2018-08-03 22:17:53","2020-05-05 02:58:50"
15,fraxel,2,0.98,2,2,2,0.01,"2016-08-09 10:01:25","2019-02-06 23:23:53"
16,http://westmed.ru,6,3,2,2,138,0.61,"2017-05-12 07:33:31","2020-06-12 05:42:30"
17,https://www.westmed.ru/,3,1,2,2,3,0.01,"2019-08-31 09:45:08","2020-05-31 00:29:56"
18,"ulthera system",2,0.98,2,2,5,0.02,"2016-04-13 00:12:20","2020-06-09 09:08:57"
19,"westmed, клиника",2,0.98,2,2,26,0.11,"2020-06-06 16:45:08","2020-06-15 04:11:32"
20,www.westmed.ru/,3,1,2,2,3,0.01,"2018-02-06 17:57:57","2019-04-11 17:37:34"
21,"клиника пластической хирургии westmed",2,0.98,2,2,6307,28,"2013-08-08 20:10:55","2020-05-17 07:21:32"
22,"клиника эстетической медицины ""вестмед""",2,0.98,2,2,2,0.01,"2020-05-22 22:47:32","2020-05-23 22:30:10"
23,"косметологии и пластической хирургии",2,0.98,2,2,2,0.01,"2016-03-13 22:56:35","2020-06-04 07:07:23"
24,"ооо ""вестмед""",2,0.98,2,2,4,0.02,"2014-04-26 16:51:42","2020-05-23 18:40:47"
25,"пластика носа",2,0.98,2,2,2,0.01,"2014-12-15 14:50:12","2020-02-13 10:15:31"
26,подробнее…,2,0.98,2,2,4,0.02,"2013-08-09 16:55:47","2020-06-07 08:22:08"
27,"увеличение груди собственным жиром",2,0.98,2,2,5,0.02,"2018-01-21 06:14:52","2020-06-11 10:08:36"
28,"увеличение груди стоимость",2,0.98,2,2,8,0.04,"2019-02-12 12:21:26","2020-05-30 05:58:53"
29,"читать больше о клинике",2,0.98,2,2,2,0.01,"2018-08-22 06:47:14","2020-06-04 07:07:23"
30,"""westmed"" - пластическая медицина и косметология",1,0.49,1,0.84,5,0.02,"2020-01-09 02:17:06","2020-01-22 17:37:31"
31,6833,1,0.49,1,0.84,3,0.01,"2018-04-20 06:04:12","2018-04-20 06:04:12"
32,"http://westmed.ru/bitrix/rk.php?goto=ht ... heeff.site",1,0.49,1,0.84,1,0,"2017-05-23 22:48:25","2017-05-23 22:48:25"
33,http://www.westmed.ru/index.php?page=intplastic,1,0.49,1,0.84,1,0,"2018-08-12 21:20:23","2019-04-19 21:52:19"
34,http://www.westmed.ru/services/plastic/breastup/,1,0.49,1,0.84,1,0,"2018-06-04 14:34:12","2018-06-04 14:34:12"
35,"open in a new browser window",1,0.49,1,0.84,1,0,"2019-05-13 16:52:40","2019-05-13 16:52:40"
36,"smas лифтинг лица",1,0.49,1,0.84,2,0.01,"2015-07-15 16:56:39","2020-03-20 14:46:45"
37,"westmed - www.westmed.ru",1,0.49,1,0.84,2,0.01,"2018-04-17 08:40:20","2020-03-22 21:04:14"
38,www.westmed.ru/services/plastika-tela/mamo/,1,0.49,1,0.84,1,0,"2018-02-06 17:57:57","2018-02-06 17:57:57"
39,www.westmed.ruindex.php?page=hairs,1,0.49,1,0.84,8,0.04,"2018-03-22 00:43:18","2019-04-29 07:23:16"
40,www.westmed.ru…services/laser/lightsheer-duet/,1,0.49,1,0.84,1,0,"2018-02-06 17:57:57","2018-02-06 17:57:57"
41,"~image credit",1,0.49,1,0.84,6,0.03,"2019-12-22 11:18:04","2020-05-20 13:34:59"
42,алтера,1,0.49,1,0.84,3,0.01,"2018-09-16 10:02:39","2020-05-10 06:22:18"
43,алюма,1,0.49,1,0.84,3,0.01,"2019-01-31 03:50:31","2020-05-27 22:41:28"
44,"блефаропластика и пластическая хирургия в москве по самым лучшим ценам",1,0.49,1,0.84,1,0,"2019-05-29 10:05:52","2019-05-29 10:05:52"
45,блефопластика,1,0.49,1,0.84,4,0.02,"2018-07-25 11:03:33","2020-03-21 13:38:30"
46,вестмед,1,0.49,1,0.84,3,0.01,"2013-08-10 09:24:03","2019-11-22 16:50:21"
47,зелтик,1,0.49,1,0.84,2,0.01,"2018-09-10 19:26:45","2020-05-20 14:21:33"
48,"интимная пластика в клинике westmed",1,0.49,1,0.84,2,0.01,"2016-09-20 16:57:17","2019-06-21 04:58:34"
49,"клиника пластической хирургии",1,0.49,1,0.84,2,0.01,"2019-10-01 13:11:17","2019-10-03 15:48:46"
50,"клинике красоты и здоровья «westmed»",1,0.49,1,0.84,1,0,"2017-04-27 14:23:50","2020-04-24 01:10:22"
51,"лазерную шлифовку фраксель",1,0.49,1,0.84,1,0,"2013-08-11 07:37:38","2013-08-11 07:37:38"
52,"липосакция в клинике westmed",4,2,1,0.84,7,0.03,"2018-07-22 17:42:40","2020-05-29 19:42:59"
53,"липосакция коленей",1,0.49,1,0.84,2,0.01,"2019-10-07 03:03:09","2019-10-17 20:00:16"
